"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330385 Paty do Alferes";1;-;-;-;-;1;2;3;3;1;2;1;4;15;7;9;16;13;12;18;-;108
"330390 Petrópolis";16;4;5;2;4;1;4;13;15;16;26;47;59;86;117;164;176;180;172;353;-;1460
"330395 Pinheiral";-;-;2;-;-;-;2;3;2;3;2;4;4;3;8;15;12;7;6;17;1;91
"330400 Piraí";3;1;1;-;1;-;1;1;1;4;3;5;3;8;14;10;15;17;18;29;-;135
"330410 Porciúncula";-;-;-;-;1;-;-;1;-;2;-;3;9;5;7;6;10;6;8;19;-;77
"330411 Porto Real";3;-;-;-;-;-;3;1;2;-;4;1;6;3;5;12;7;6;4;20;-;77
"330412 Quatis";1;1;-;-;-;-;-;-;-;2;-;-;1;1;4;5;7;6;9;6;-;43
"330414 Queimados";8;2;8;4;1;2;20;33;31;24;17;25;33;31;51;71;81;88;62;107;-;699
"330415 Quissamã";2;-;1;1;-;-;6;4;3;1;3;3;5;7;11;7;9;5;16;25;-;109
"330420 Resende";6;2;4;1;3;2;6;14;9;12;10;16;26;32;39;48;45;54;53;121;1;504
"330430 Rio Bonito";5;1;3;1;1;-;3;7;4;5;9;5;10;15;12;25;30;31;26;50;-;243
"330440 Rio Claro";2;-;-;-;-;-;1;3;1;3;2;4;3;4;6;11;9;10;8;19;-;86
"330450 Rio das Flores";-;-;-;2;-;-;1;-;-;1;1;-;-;1;4;1;3;6;2;11;-;33
"330452 Rio das Ostras";8;1;6;1;-;2;6;11;16;16;13;18;23;33;32;52;52;55;52;72;-;469
"330455 Rio de Janeiro";215;105;177;92;49;70;495;794;691;651;695;746;983;1378;2088;2911;3294;3247;3024;7591;62;29358
"330460 Santa Maria Madalena";2;-;-;-;-;-;-;-;-;1;3;-;3;4;1;5;3;3;5;15;-;45
"330470 Santo Antônio de Pádua";1;-;-;1;-;-;5;-;4;5;4;4;12;12;16;24;23;25;30;59;-;225
"330480 São Fidélis";1;-;1;2;-;-;1;5;1;5;1;6;5;8;15;11;18;22;26;51;-;179
"330475 São Francisco de Itabapoana";3;1;2;-;-;1;4;8;5;12;10;10;5;11;20;25;17;25;24;58;-;241
"330490 São Gonçalo";44;16;26;8;7;10;107;175;134;92;108;116;170;209;305;417;457;459;417;755;10;4042
"330500 São João da Barra";3;-;1;1;-;1;-;8;7;2;5;4;8;11;12;20;23;26;23;46;1;202
"330510 São João de Meriti";23;5;16;7;3;6;51;60;53;52;67;65;85;120;165;233;230;225;222;350;5;2043
"330513 São José de Ubá";-;1;-;-;-;-;-;-;1;-;3;-;1;3;1;1;5;4;2;6;-;28
"330515 São José do Vale do Rio Preto";2;-;-;-;-;-;-;2;-;1;2;1;7;6;8;13;9;8;12;16;-;87
"330520 São Pedro da Aldeia";8;2;5;2;-;-;15;21;13;18;8;16;16;28;36;38;50;44;34;96;4;454
"330530 São Sebastião do Alto";1;-;1;-;-;-;3;-;1;1;1;2;3;4;-;4;6;6;4;11;-;48
"330540 Sapucaia";1;-;1;-;-;-;-;-;3;2;1;3;1;4;5;7;10;4;16;19;-;77
"330550 Saquarema";4;-;1;2;-;-;5;8;9;10;9;14;13;32;29;40;50;56;41;73;-;396
"330555 Seropédica";4;2;3;2;-;1;3;9;10;5;10;11;5;22;25;36;44;45;35;62;-;334
"330560 Silva Jardim";1;1;-;-;-;-;1;2;1;2;1;6;4;6;10;10;20;6;3;19;-;93
"330570 Sumidouro";1;-;1;-;1;-;-;1;1;2;3;4;1;4;3;5;3;6;4;11;-;51
"330575 Tanguá";4;-;2;-;-;-;1;5;3;2;2;10;7;8;13;13;17;12;25;34;-;158
"330580 Teresópolis";7;5;3;2;2;-;8;14;16;12;21;21;36;49;56;74;110;81;75;176;-;768
"330590 Trajano de Moraes";-;-;-;-;-;-;1;1;-;-;1;1;2;1;2;4;5;10;8;11;-;47
"330600 Três Rios";11;1;1;1;1;1;4;16;17;6;11;23;14;25;34;45;48;49;33;82;-;423
"330610 Valença";3;-;4;-;1;1;2;3;6;2;7;13;20;18;28;40;37;48;41;101;-;375
"330615 Varre-Sai";-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;5;3;4;5;5;-;27
"330620 Vassouras";2;2;1;-;-;1;3;5;5;1;5;4;8;14;20;17;25;18;14;49;-;194
"330630 Volta Redonda";7;2;14;2;2;6;20;26;30;31;38;23;36;70;79;137;158;137;122;296;-;1236
"330000 Município ignorado - RJ";2;-;-;-;-;1;11;28;28;34;31;38;29;34;39;30;33;26;8;10;385;767

 
