
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330510 São João de Meriti";31;9;19;1;12;3;10;62;65;74;55;59;55;74;143;158;189;218;214;183;300;4;1938
"330513 São José de Ubá";-;-;-;-;-;-;-;1;-;1;1;-;1;1;2;5;-;2;2;4;7;-;27
"330515 São José do Vale do Rio Preto";-;-;1;-;-;-;-;-;2;-;4;4;3;2;9;5;8;9;13;11;20;-;91
"330520 São Pedro da Aldeia";6;3;1;-;2;4;-;9;21;11;8;6;9;16;26;29;26;51;49;36;85;5;403
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;-;1;2;1;-;-;2;3;5;3;4;7;2;12;-;42
"330540 Sapucaia";1;1;-;-;-;-;1;1;-;3;3;2;3;2;3;5;6;8;10;8;19;-;76
"330550 Saquarema";4;1;2;-;2;-;2;9;6;4;8;15;14;21;20;35;28;42;28;47;82;-;370
"330555 Seropédica";3;3;-;-;2;-;2;5;5;12;9;15;14;9;33;31;43;33;30;47;62;-;358
"330560 Silva Jardim";-;-;-;-;1;-;-;4;5;1;1;3;-;1;7;7;12;11;13;8;23;-;97
"330570 Sumidouro";-;-;1;-;-;-;-;2;1;-;1;1;3;4;4;3;8;7;7;6;11;-;59
"330575 Tanguá";1;-;-;-;-;2;-;1;5;4;1;8;7;10;9;14;5;15;15;16;27;1;141
"330580 Teresópolis";7;5;3;-;2;-;-;14;13;16;12;18;23;33;45;60;55;82;98;69;182;-;737
"330590 Trajano de Moraes";-;-;2;-;-;-;-;-;1;2;2;-;3;3;1;4;6;2;5;3;6;-;40
"330600 Três Rios";3;3;1;-;3;1;2;3;6;4;6;14;7;15;24;30;28;32;36;39;71;1;329
"330610 Valença";3;-;1;-;1;1;2;2;6;5;4;9;9;17;20;28;29;33;37;43;101;2;353
"330615 Varre-Sai";2;-;-;-;-;1;-;1;-;1;1;-;-;-;3;2;3;5;-;4;14;-;37
"330620 Vassouras";-;-;1;-;2;-;-;2;4;4;3;6;3;10;18;13;18;19;22;10;34;-;169
"330630 Volta Redonda";11;3;3;-;2;1;3;17;28;23;24;22;31;31;58;98;118;130;115;115;259;-;1092
"330000 Município ignorado - RJ";4;1;-;-;-;-;-;11;26;52;38;38;36;32;39;32;43;22;19;11;8;608;1020
 
