
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330440 Rio Claro";-;-;-;-;-;-;-;-;2;-;-;1;1;1;2;3;4;5;3;4;24;-;50
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;1;2;4;4;4;-;22
"330452 Rio das Ostras";12;-;3;-;2;1;3;8;3;7;11;7;15;13;8;23;32;30;22;44;116;-;360
"330455 Rio de Janeiro";230;77;181;-;83;39;43;129;186;219;302;395;500;711;1113;1576;2077;2468;2723;3397;12920;18;29387
"330460 Santa Maria Madalena";1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;5;1;1;2;3;21;-;37
"330470 Santo Antônio de Pádua";1;-;2;-;1;-;-;2;-;-;2;1;2;6;5;12;13;18;14;21;76;-;176
"330480 São Fidélis";-;1;-;-;-;-;-;1;1;1;2;2;2;6;5;8;9;7;18;19;63;-;145
"330475 São Francisco de Itabapoana";3;-;1;-;-;1;1;4;-;-;2;4;2;1;6;12;10;12;8;17;47;-;131
"330490 São Gonçalo";29;10;23;-;14;5;7;14;20;24;35;49;84;131;200;252;322;331;407;447;1294;1;3699
"330500 São João da Barra";1;-;1;-;-;-;-;1;1;1;-;2;1;2;10;10;12;16;16;16;43;-;133
"330510 São João de Meriti";9;5;16;-;6;3;3;6;8;24;23;50;48;63;112;156;163;186;202;239;611;1;1934
"330513 São José de Ubá";1;-;-;-;-;-;-;-;1;-;-;2;1;-;1;3;1;-;3;1;10;-;24
"330515 São José do Vale do Rio Preto";-;-;-;-;-;-;-;1;-;2;2;4;-;1;5;6;4;9;4;3;22;-;63
"330520 São Pedro da Aldeia";5;2;4;-;-;2;-;4;2;3;4;4;8;8;12;12;23;31;28;41;94;1;288
"330530 São Sebastião do Alto";1;-;-;-;-;-;-;-;1;-;-;-;1;2;2;1;-;1;2;6;12;-;29
"330540 Sapucaia";-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;7;4;7;9;6;21;-;62
"330550 Saquarema";3;1;3;-;-;-;-;-;2;2;3;8;2;4;12;15;21;31;26;44;105;-;282
"330555 Seropédica";4;1;3;-;-;-;-;4;5;1;8;4;8;14;24;20;27;20;22;28;71;1;265
"330560 Silva Jardim";-;-;1;-;1;-;-;2;2;1;1;5;1;4;6;7;7;6;7;15;26;-;92
"330570 Sumidouro";1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;2;7;2;3;12;10;-;40
"330575 Tanguá";1;-;-;-;1;1;1;-;1;1;-;4;4;2;4;6;9;12;6;9;23;-;85
"330580 Teresópolis";5;1;6;-;1;-;2;2;3;6;12;12;15;20;31;43;47;57;64;81;237;-;645
"330590 Trajano de Moraes";-;-;-;-;-;1;-;-;2;2;-;1;1;2;1;2;3;5;6;7;13;-;46
"330600 Três Rios";1;1;5;-;-;-;-;1;2;3;7;6;8;5;14;24;19;34;31;31;127;-;319
"330610 Valença";1;-;3;-;-;-;-;-;-;1;4;3;1;9;16;13;25;35;37;32;136;-;316
"330615 Varre-Sai";-;-;-;-;-;-;-;-;-;2;-;1;-;1;4;-;1;-;5;6;5;-;25
"330620 Vassouras";1;1;1;-;-;-;-;2;-;1;3;2;2;6;7;14;13;18;14;10;58;-;153
"330630 Volta Redonda";9;9;2;-;4;1;3;3;9;11;12;15;22;38;44;62;97;88;102;104;371;-;1006
"330000 Município ignorado - RJ";2;-;1;-;-;-;-;2;3;5;5;5;6;5;4;1;9;7;1;8;15;115;194
