
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330225 Itatiaia";1;1;-;1;1;-;2;2;6;3;4;6;4;4;11;7;8;9;5;22;-;97
"330227 Japeri";7;5;5;1;1;2;5;21;9;13;8;17;25;27;39;45;31;32;32;41;1;367
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;2;-;3;4;1;-;4;2;11;-;27
"330240 Macaé";9;4;9;3;1;4;28;29;27;19;32;20;39;44;60;42;48;57;42;78;4;599
"330245 Macuco";-;-;1;-;-;-;-;-;-;-;-;-;-;3;3;2;3;3;3;8;-;26
"330250 Magé";14;4;8;1;2;3;23;24;28;23;40;41;58;69;91;94;94;93;96;157;1;964
"330260 Mangaratiba";3;1;-;-;-;-;7;2;2;5;3;4;10;6;22;22;11;20;16;23;1;158
"330270 Maricá";3;1;5;1;1;1;5;12;4;11;12;20;22;34;33;48;62;66;56;93;-;490
"330280 Mendes";2;-;-;1;-;-;-;-;4;2;2;5;4;5;8;7;7;18;11;19;-;95
"330285 Mesquita";10;5;5;2;2;5;14;14;13;16;28;20;30;48;55;72;66;68;53;89;2;617
"330290 Miguel Pereira";3;-;-;1;-;1;2;2;3;2;2;7;6;8;13;10;14;17;18;31;-;140
"330300 Miracema";1;1;3;1;-;-;2;3;3;1;8;1;8;12;13;14;14;11;15;28;-;139
"330310 Natividade";2;-;-;-;1;-;-;4;-;1;1;3;4;5;4;10;3;11;8;20;-;77
"330320 Nilópolis";7;2;2;3;1;4;17;28;26;25;24;28;38;68;70;88;87;94;85;107;5;809
"330330 Niterói";18;7;12;11;1;6;27;43;52;36;29;60;85;131;151;186;202;244;291;567;3;2162
"330340 Nova Friburgo";8;2;5;14;23;16;18;23;27;31;38;48;60;62;67;71;94;74;79;190;12;962
"330350 Nova Iguaçu";75;14;48;15;9;11;54;96;90;99;93;121;193;227;307;345;343;338;295;493;15;3281
"330360 Paracambi";1;1;1;-;2;-;1;1;4;7;6;5;10;9;21;16;19;19;21;24;-;168
"330370 Paraíba do Sul";1;-;1;1;-;2;4;3;6;2;4;5;10;17;17;11;14;28;20;39;-;185
"330380 Paraty";5;2;-;1;1;-;6;5;2;6;4;3;6;7;5;17;5;11;10;22;-;118
"330385 Paty do Alferes";1;2;1;-;1;-;2;4;4;3;3;3;4;6;9;6;6;9;15;26;-;105
"330390 Petrópolis";21;8;4;7;8;8;12;17;23;29;38;57;79;121;106;148;134;135;150;276;1;1382
"330395 Pinheiral";1;-;-;1;-;-;1;4;1;3;2;5;8;11;8;16;8;7;9;15;-;100
"330400 Piraí";1;3;-;-;-;-;1;4;2;2;3;5;7;8;9;14;8;10;7;28;-;112
"330410 Porciúncula";1;1;-;1;-;-;-;2;1;-;2;4;4;3;4;8;6;4;8;19;-;68
"330411 Porto Real";-;-;-;-;-;-;-;3;2;-;4;6;2;6;7;6;4;5;10;8;-;63
"330412 Quatis";1;1;-;-;-;-;1;-;-;1;1;2;2;5;2;4;7;8;5;10;-;50
"330414 Queimados";14;1;6;2;3;4;11;26;12;22;20;33;32;51;45;52;58;59;49;74;5;579
"330415 Quissamã";1;-;-;1;-;-;1;2;1;3;-;3;6;7;7;7;6;8;10;13;-;76
"330420 Resende";7;3;4;2;1;2;8;15;15;17;14;13;21;34;33;45;34;41;35;84;-;428
"330430 Rio Bonito";2;1;2;-;-;1;4;5;5;9;6;11;8;20;15;18;25;28;29;48;-;237
"330440 Rio Claro";-;-;1;-;-;1;-;1;1;1;3;2;4;4;3;10;8;9;7;18;-;73
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;-;1;1;3;4;4;2;3;4;10;-;32
"330452 Rio das Ostras";6;1;1;1;1;3;7;16;10;11;13;11;19;15;28;43;28;32;29;36;-;311
"330455 Rio de Janeiro";263;93;221;97;63;96;422;567;639;640;634;798;1154;1707;2306;2451;2609;2843;3048;5821;42;26514
"330460 Santa Maria Madalena";3;1;-;1;-;-;3;-;-;-;2;-;2;2;1;3;3;5;5;15;-;46
"330470 Santo Antônio de Pádua";4;1;1;1;1;-;4;2;3;5;2;6;7;15;13;20;13;23;20;53;-;194
"330480 São Fidélis";-;1;2;1;-;-;1;4;2;6;5;6;13;15;12;22;9;25;16;49;-;189
"330475 São Francisco de Itabapoana";3;-;3;3;2;-;2;2;8;7;6;6;13;13;12;16;20;18;18;42;-;194
"330490 São Gonçalo";41;16;23;12;7;23;81;104;105;115;126;140;210;260;368;415;411;426;369;633;6;3891
"330500 São João da Barra";2;1;1;-;-;1;7;5;4;3;4;6;9;10;11;11;15;17;15;21;-;143
"330510 São João de Meriti";29;9;21;3;4;8;43;63;49;50;46;66;97;158;183;203;194;210;176;270;18;1900
"330513 São José de Ubá";1;-;-;-;-;-;-;3;1;-;1;-;-;-;1;2;4;2;5;7;-;27
"330515 São José do Vale do Rio Preto";1;-;-;1;-;-;1;1;1;3;3;2;2;7;8;14;5;9;12;14;1;85
"330520 São Pedro da Aldeia";4;1;2;1;-;-;10;8;9;16;17;9;20;24;28;24;31;46;24;53;2;329
"330530 São Sebastião do Alto";1;-;-;-;-;-;-;1;1;1;1;1;3;3;2;-;2;3;5;14;-;38
"330540 Sapucaia";-;-;1;1;-;1;2;1;2;3;1;2;3;4;7;9;13;13;6;19;-;88
"330550 Saquarema";3;2;1;3;1;1;5;5;6;7;8;6;15;28;31;30;34;24;28;61;-;299
"330555 Seropédica";4;3;2;5;-;2;4;4;7;12;8;13;19;20;20;33;26;24;23;35;1;265
"330560 Silva Jardim";-;-;2;-;-;1;1;4;3;4;3;3;5;5;4;7;7;9;14;22;-;94
"330570 Sumidouro";1;-;-;2;3;1;2;3;1;1;1;5;7;5;6;5;4;5;4;8;-;64
"330575 Tanguá";1;-;2;1;1;1;5;1;4;4;5;4;5;8;11;14;8;7;12;17;1;112
"330580 Teresópolis";6;4;6;7;17;11;22;17;20;24;34;39;50;46;71;60;72;74;75;166;8;829
"330590 Trajano de Moraes";-;-;-;-;-;-;1;-;-;2;3;6;7;2;4;4;6;5;8;15;-;63
"330600 Três Rios";11;-;6;3;-;1;3;10;12;12;14;8;24;32;36;35;46;34;40;60;3;390
"330610 Valença";4;1;6;1;-;1;2;6;6;5;11;16;18;23;25;39;35;35;35;73;-;342
"330615 Varre-Sai";-;-;2;-;-;-;1;-;1;-;-;1;2;2;5;1;1;3;1;7;-;27
"330620 Vassouras";2;-;1;-;1;-;2;2;2;6;3;10;13;10;9;13;19;16;18;31;-;158
"330630 Volta Redonda";8;5;6;5;1;1;19;28;27;36;20;36;55;81;104;104;109;100;130;220;-;1095
"330000 Município ignorado - RJ";6;-;4;-;2;3;22;47;41;49;39;51;35;45;30;25;27;16;11;11;843;1307
