
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330093 Carapebus";-;-;-;-;-;-;-;-;2;1;-;1;-;1;2;1;1;3;4;11;-;27
"330115 Cardoso Moreira";-;-;1;-;-;-;-;-;-;1;1;2;-;4;1;4;3;7;5;21;-;50
"330120 Carmo";1;-;-;-;-;-;-;-;-;1;1;7;2;3;4;6;1;5;8;30;-;69
"330130 Casimiro de Abreu";1;-;-;1;1;-;1;1;2;4;4;1;2;2;9;6;10;5;11;34;-;95
"330095 Comendador Levy Gasparian";-;-;1;-;-;-;-;1;1;-;2;-;1;-;2;-;6;2;4;12;1;33
"330140 Conceição de Macabu";-;1;1;1;-;-;2;1;-;1;2;-;1;2;5;10;6;9;9;24;-;75
"330150 Cordeiro";-;-;1;1;-;-;2;2;1;2;1;1;4;7;8;2;4;7;9;27;-;79
"330160 Duas Barras";-;-;1;-;-;1;-;-;-;1;-;-;2;1;1;-;1;5;4;18;-;35
"330170 Duque de Caxias";36;10;36;17;7;7;17;26;29;50;67;85;128;184;233;292;276;281;355;808;1;2945
"330180 Engenheiro Paulo de Frontin";1;-;-;-;1;-;-;1;-;-;2;2;3;1;2;6;4;2;4;21;-;50
"330185 Guapimirim";-;2;2;2;-;-;1;1;2;1;4;4;3;7;13;10;11;13;27;38;-;141
"330187 Iguaba Grande";-;1;1;-;-;-;-;1;2;-;1;1;4;2;4;7;11;12;9;26;-;82
"330190 Itaboraí";7;2;7;2;1;3;9;3;8;11;24;16;26;34;66;67;72;81;88;182;3;712
"330200 Itaguaí";2;-;3;2;-;1;5;5;3;5;7;10;14;25;19;29;27;33;35;99;-;324
"330205 Italva";-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;3;5;5;7;17;-;43
"330210 Itaocara";5;-;-;-;-;-;1;-;1;-;1;1;3;1;5;5;8;10;11;51;-;103
"330220 Itaperuna";-;-;-;1;-;-;1;1;-;4;9;9;11;16;22;33;27;32;44;136;-;346
"330225 Itatiaia";-;-;-;-;-;1;-;1;1;1;3;2;3;7;4;8;11;10;4;33;-;89
"330227 Japeri";10;4;2;2;-;2;3;5;5;5;7;11;11;16;25;29;39;20;27;73;-;296
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;6;2;13;-;25
"330240 Macaé";14;3;5;2;3;2;7;8;10;15;10;16;29;33;30;36;37;46;51;123;-;480
"330245 Macuco";-;-;1;-;-;-;-;-;-;-;1;-;1;1;1;1;5;3;2;11;-;27
"330250 Magé";14;2;7;4;2;3;6;7;5;15;14;31;35;42;58;74;78;75;89;202;1;764
"330260 Mangaratiba";-;-;1;-;-;-;1;1;-;2;3;4;6;4;10;6;7;8;9;32;1;95
"330270 Maricá";3;1;5;2;-;-;4;3;2;2;6;11;11;19;20;37;30;43;37;174;1;411
"330280 Mendes";-;-;1;1;-;-;-;-;1;-;2;1;1;3;5;4;6;9;10;26;-;70
"330285 Mesquita";9;5;9;3;1;-;4;1;2;12;11;20;25;31;53;53;67;81;78;160;1;626
"330290 Miguel Pereira";-;1;-;-;-;-;1;-;2;1;1;2;2;3;4;9;6;9;12;42;1;96
"330300 Miracema";1;-;-;-;-;1;-;1;2;3;1;2;3;3;6;11;8;9;13;47;-;111
"330310 Natividade";-;-;-;-;-;-;-;-;2;2;1;1;1;2;3;3;5;3;7;24;-;54
"330320 Nilópolis";5;4;3;2;1;-;3;8;1;11;12;26;25;46;50;49;66;64;87;207;1;671
"330330 Niterói";14;4;11;6;5;6;7;9;16;21;22;38;52;82;114;127;152;194;259;1082;-;2221
"330340 Nova Friburgo";8;3;6;3;-;1;4;3;1;11;10;10;31;35;41;53;63;64;85;280;-;712
"330350 Nova Iguaçu";35;10;28;13;5;6;24;25;29;47;77;76;105;167;216;247;267;279;321;738;6;2721
"330360 Paracambi";1;-;-;-;-;-;1;1;1;5;2;3;6;7;16;13;19;20;23;49;-;167
"330370 Paraíba do Sul";-;-;1;-;1;1;1;2;1;3;1;4;6;8;10;12;10;13;14;63;-;151
"330380 Paraty";2;-;1;1;-;1;1;-;1;1;2;3;3;6;5;2;7;7;11;23;-;77
"330385 Paty do Alferes";1;-;-;1;-;-;-;-;1;4;-;3;5;2;9;9;8;11;13;33;-;100
"330390 Petrópolis";16;4;13;4;3;7;5;8;12;9;12;25;34;58;93;84;117;138;141;505;-;1288
"330395 Pinheiral";2;-;1;-;-;-;-;1;-;1;2;3;2;7;4;6;7;10;3;25;-;74
"330400 Piraí";-;-;2;1;-;-;-;-;-;3;1;-;3;5;9;9;7;7;10;24;-;81
"330410 Porciúncula";-;-;-;-;-;-;1;-;-;-;2;2;4;2;7;5;9;4;6;23;-;65
"330411 Porto Real";2;1;-;-;-;-;3;-;-;-;2;1;-;3;4;8;7;8;10;13;-;62
"330412 Quatis";-;-;2;-;-;-;-;-;-;1;1;-;2;6;2;3;2;3;6;17;-;45
"330414 Queimados";5;2;4;1;-;-;3;3;5;6;16;13;13;29;41;34;45;45;49;122;1;437
"330415 Quissamã";1;-;-;-;-;-;-;1;-;-;-;1;3;5;2;4;8;6;9;22;-;62
"330420 Resende";7;2;3;1;-;-;3;4;4;4;5;10;17;12;28;27;35;37;46;115;-;360
"330430 Rio Bonito";1;1;-;1;1;1;1;1;2;1;4;3;4;2;16;10;13;16;18;61;-;157
"330440 Rio Claro";-;-;-;-;-;-;2;1;2;-;2;1;2;7;2;1;3;7;5;21;-;56
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;3;4;1;5;-;20
"330452 Rio das Ostras";5;1;-;3;1;2;2;-;2;7;8;5;7;18;22;17;25;26;34;77;-;262
"330455 Rio de Janeiro";230;85;188;72;45;62;110;137;212;293;408;519;746;1134;1532;1792;2057;2446;3203;11373;15;26659
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;-;-;1;-;1;-;2;2;1;3;3;3;13;-;29
"330470 Santo Antônio de Pádua";3;1;1;-;-;-;1;2;1;3;-;3;7;7;9;5;17;13;25;61;-;159
"330480 São Fidélis";-;2;-;1;-;-;-;-;-;-;2;1;6;5;7;14;8;12;20;64;-;142
"330475 São Francisco de Itabapoana";-;-;1;-;-;-;-;-;1;-;5;5;3;7;7;9;7;15;8;50;-;118
"330490 São Gonçalo";33;7;22;10;6;11;12;21;23;47;64;73;123;175;218;306;340;353;438;1094;3;3379
"330500 São João da Barra";3;2;1;2;-;-;-;-;-;2;-;8;2;7;6;8;15;13;13;26;-;108
"330510 São João de Meriti";20;9;13;5;4;2;6;13;17;23;42;49;65;91;155;159;174;170;197;464;3;1681
"330513 São José de Ubá";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;4;-;1;6;-;14
"330515 São José do Vale do Rio Preto";-;-;1;-;-;-;-;-;-;2;1;1;2;2;8;13;6;6;5;21;-;68
"330520 São Pedro da Aldeia";2;1;1;-;1;-;1;3;3;2;4;6;8;11;24;16;17;21;27;64;1;213
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;2;1;3;4;14;-;29
"330540 Sapucaia";-;-;-;-;-;1;-;-;-;-;-;4;-;2;4;2;2;9;5;20;-;49
"330550 Saquarema";1;2;-;-;1;1;1;1;2;3;2;10;9;11;27;21;18;27;30;104;-;271
"330555 Seropédica";3;-;-;-;-;1;-;1;2;1;4;5;13;19;11;33;30;34;30;57;2;246
"330560 Silva Jardim";-;-;-;1;-;-;-;1;-;1;2;2;1;3;1;6;3;6;6;20;-;53
"330570 Sumidouro";1;1;-;-;-;1;-;-;2;-;1;-;1;3;1;3;3;7;6;7;-;37
"330575 Tanguá";2;-;1;-;-;1;1;-;-;2;1;3;8;5;4;5;10;8;8;23;-;82
"330580 Teresópolis";6;2;3;3;-;1;3;3;5;12;10;14;27;29;30;54;45;59;67;242;-;615
"330590 Trajano de Moraes";-;-;1;-;-;-;-;-;1;1;-;2;-;3;1;4;-;2;7;8;-;30
"330600 Três Rios";4;1;2;2;-;-;-;3;3;7;4;7;14;16;17;25;30;35;47;102;-;319
"330610 Valença";-;2;1;-;-;1;2;2;-;4;9;11;12;16;27;21;19;29;38;131;-;325
"330615 Varre-Sai";-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;-;2;3;2;8;-;20
"330620 Vassouras";1;-;2;1;1;-;1;1;2;2;4;4;8;9;13;7;7;13;15;57;-;148
"330630 Volta Redonda";6;2;9;2;-;1;3;2;9;19;12;13;37;60;57;82;79;96;110;339;-;938
"330000 Município ignorado - RJ";7;2;2;1;-;-;1;8;7;4;3;8;3;4;7;4;4;4;3;11;148;231
