"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330285 Mesquita";5;3;7;2;1;2;1;5;4;11;15;22;19;35;56;59;87;90;77;224;-;725
"330290 Miguel Pereira";-;-;-;-;-;1;-;1;-;-;2;1;2;8;11;7;14;15;12;58;-;132
"330300 Miracema";3;-;-;-;-;-;-;2;2;3;2;4;8;4;6;10;8;17;18;45;-;132
"330310 Natividade";-;-;2;-;-;-;-;2;-;2;1;1;2;5;1;8;2;9;6;27;-;68
"330320 Nilópolis";4;2;4;3;-;1;2;5;10;7;12;10;34;41;51;63;63;83;86;280;-;761
"330330 Niterói";14;4;11;5;2;1;3;9;14;24;21;35;35;74;97;153;191;216;262;1229;1;2401
"330340 Nova Friburgo";11;4;2;2;-;-;4;1;6;3;7;12;19;28;48;65;80;87;88;337;-;804
"330350 Nova Iguaçu";35;13;28;11;7;2;15;25;35;42;43;76;124;139;219;291;346;377;368;956;-;3152
"330360 Paracambi";-;1;1;-;-;1;-;3;1;-;-;5;10;9;10;10;22;27;20;59;-;179
"330370 Paraíba do Sul";5;-;-;-;-;-;2;1;-;3;3;5;5;7;11;12;12;18;21;72;-;177
"330380 Paraty";-;-;1;-;1;-;1;-;-;3;3;5;5;8;17;6;4;9;14;39;-;116
"330385 Paty do Alferes";2;-;1;-;-;1;-;-;-;-;1;2;1;3;5;8;13;10;22;42;-;111
"330390 Petrópolis";14;4;9;3;4;3;2;4;6;11;18;33;32;61;72;93;121;155;172;623;-;1440
"330395 Pinheiral";2;-;1;1;-;-;1;-;2;-;1;6;3;2;2;8;10;4;9;28;-;80
"330400 Piraí";-;-;1;-;-;-;-;1;1;3;2;-;2;3;5;8;12;10;7;44;-;99
"330410 Porciúncula";1;-;2;-;-;1;-;-;-;-;1;1;3;5;3;4;5;4;10;30;-;70
"330411 Porto Real";-;-;-;-;-;-;1;-;1;1;-;-;2;1;10;6;9;4;10;19;-;64
"330412 Quatis";-;1;-;2;-;-;-;-;1;-;-;1;1;2;1;4;10;6;4;15;-;48
"330414 Queimados";8;3;8;3;1;-;3;7;4;11;9;18;27;29;36;53;53;67;62;187;1;590
"330415 Quissamã";-;-;-;-;-;-;-;1;-;1;2;2;-;4;5;8;5;5;6;19;-;58
"330420 Resende";5;5;3;-;4;2;4;5;1;3;8;4;15;13;28;30;40;58;44;170;-;442
"330430 Rio Bonito";-;-;1;1;-;2;2;-;3;1;-;7;8;11;18;18;15;24;29;84;1;225
"330440 Rio Claro";-;-;-;1;-;-;-;-;-;2;1;-;3;2;1;3;8;6;6;23;-;56
"330450 Rio das Flores";-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;4;6;2;2;18;-;36
"330452 Rio das Ostras";8;4;1;-;2;-;2;2;3;4;9;6;20;21;26;42;42;44;43;129;-;408
"330455 Rio de Janeiro";215;77;142;76;41;45;118;168;206;281;416;549;704;1020;1539;2151;2631;2942;3406;13597;8;30332
"330460 Santa Maria Madalena";1;-;1;-;-;1;-;-;-;-;-;-;2;-;1;3;4;3;5;10;-;31
"330470 Santo Antônio de Pádua";3;1;-;-;-;-;-;1;2;-;1;1;5;7;12;10;10;16;20;77;1;167
"330480 São Fidélis";1;2;1;-;-;-;-;1;-;2;5;4;4;8;8;12;6;18;14;59;-;145
"330475 São Francisco de Itabapoana";2;1;3;-;-;1;-;-;2;1;2;3;4;6;7;9;12;12;17;56;-;138
"330490 São Gonçalo";30;10;25;12;3;12;17;28;25;33;57;78;103;169;231;307;369;433;473;1333;3;3751
"330500 São João da Barra";3;-;-;-;-;-;3;1;3;2;1;3;4;8;11;9;11;14;17;44;-;134
"330510 São João de Meriti";17;8;18;6;2;2;6;14;18;13;32;53;66;88;114;181;215;242;201;584;2;1882
"330513 São José de Ubá";-;-;-;-;-;-;-;-;1;-;-;1;3;2;3;3;4;5;5;9;-;36
"330515 São José do Vale do Rio Preto";1;-;-;-;-;-;-;-;-;-;-;-;4;4;5;6;9;7;7;26;-;69
"330520 São Pedro da Aldeia";7;1;3;-;-;1;1;3;3;4;2;8;13;15;28;26;35;38;30;102;-;320
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;-;1;-;-;-;-;3;1;4;2;8;6;14;-;39
"330540 Sapucaia";1;-;-;-;-;-;-;-;2;1;1;1;3;2;3;4;11;11;7;21;-;68
"330550 Saquarema";2;2;1;2;-;-;1;3;2;6;5;5;6;11;17;26;42;49;35;116;-;331
"330555 Seropédica";5;2;1;-;-;1;-;2;2;6;7;8;9;19;18;25;21;17;27;79;-;249
"330560 Silva Jardim";-;-;1;1;-;-;-;1;2;2;-;2;6;2;2;9;7;12;5;15;-;67
"330570 Sumidouro";-;-;1;-;-;-;-;-;1;-;1;2;2;-;5;2;6;4;7;16;-;47
"330575 Tanguá";1;-;1;1;-;-;1;3;1;2;4;5;6;6;8;10;11;12;12;33;-;117
"330580 Teresópolis";5;5;3;3;1;2;5;4;6;7;10;14;24;18;35;63;56;65;72;283;-;681
"330590 Trajano de Moraes";1;-;-;-;-;-;-;-;-;-;-;-;3;-;1;1;7;1;4;12;-;30
"330600 Três Rios";2;-;2;2;-;3;1;3;6;4;5;6;6;12;19;35;36;45;36;137;-;360
"330610 Valença";3;1;1;1;1;-;-;1;1;2;4;6;6;13;20;29;27;32;33;149;-;330
"330615 Varre-Sai";-;-;-;-;-;-;-;-;1;2;-;-;-;2;3;3;3;2;3;17;-;36
"330620 Vassouras";2;2;-;-;-;-;1;-;-;2;1;1;3;9;9;14;11;16;19;58;1;149
"330630 Volta Redonda";8;2;5;1;-;-;3;8;14;12;19;21;21;41;67;112;109;110;121;458;1;1133
"330000 Município ignorado - RJ";2;-;-;-;-;-;-;-;3;6;3;7;5;1;2;1;4;8;5;8;65;120
 
