
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330130 Casimiro de Abreu";2;-;-;-;-;-;2;2;6;4;5;5;5;6;15;8;11;18;19;13;27;-;148
"330095 Comendador Levy Gasparian";2;-;-;-;1;-;-;3;-;-;-;-;2;-;3;2;5;6;5;5;9;-;43
"330140 Conceição de Macabu";2;-;2;-;-;-;-;1;1;2;1;3;4;5;4;9;8;9;8;7;24;-;90
"330150 Cordeiro";3;-;-;-;1;-;-;-;1;-;4;2;2;3;2;9;9;10;6;6;13;-;71
"330160 Duas Barras";-;-;-;-;-;-;-;1;-;-;1;2;2;1;4;3;4;5;5;3;12;-;43
"330170 Duque de Caxias";44;13;42;-;13;7;14;119;170;116;103;121;130;142;229;337;404;418;340;341;574;-;3677
"330180 Engenheiro Paulo de Frontin";3;-;-;-;-;-;-;3;2;1;1;-;2;4;5;7;8;9;10;4;20;-;79
"330185 Guapimirim";6;2;3;-;-;-;1;4;13;4;3;10;5;11;15;15;21;26;24;23;45;-;231
"330187 Iguaba Grande";4;-;2;-;1;-;-;6;4;1;1;1;7;2;5;11;13;16;11;19;35;-;139
"330190 Itaboraí";9;2;7;-;1;3;4;39;72;42;21;29;45;52;75;98;115;135;136;94;167;18;1164
"330200 Itaguaí";8;5;3;-;3;-;1;33;41;15;11;22;18;26;38;53;65;75;61;57;89;-;624
"330205 Italva";-;-;-;-;1;-;-;-;1;-;-;-;2;3;5;4;5;2;8;9;24;-;64
"330210 Itaocara";3;1;-;-;-;-;-;1;3;3;2;2;5;3;6;6;10;11;17;19;37;-;129
"330220 Itaperuna";2;-;2;-;-;-;-;6;11;7;12;7;9;16;23;29;39;53;44;47;111;-;418
"330225 Itatiaia";-;1;-;-;-;-;-;5;4;4;3;2;6;11;9;10;15;17;10;13;24;-;134
"330227 Japeri";2;3;2;-;2;-;2;18;21;17;15;18;16;18;24;32;37;41;39;27;58;-;392
"330230 Laje do Muriaé";-;-;-;-;-;-;-;1;-;-;-;-;2;2;4;3;1;3;1;9;8;-;34
"330240 Macaé";9;3;10;-;4;2;4;36;43;34;26;20;22;28;50;73;77;77;71;56;117;3;765
"330245 Macuco";-;-;1;-;-;-;-;1;-;-;2;1;2;4;3;4;4;2;5;3;2;-;34
"330250 Magé";17;8;12;-;8;1;2;29;42;33;34;34;31;54;65;101;142;156;131;132;217;-;1249
"330260 Mangaratiba";3;-;1;-;2;1;-;4;3;7;6;5;7;8;10;16;26;26;26;21;31;1;204
"330270 Maricá";4;1;6;-;3;3;1;15;20;13;21;18;21;31;38;58;79;64;83;70;141;-;690
"330280 Mendes";1;-;-;-;-;-;1;1;1;1;2;1;3;1;7;9;10;12;11;14;21;-;96
"330285 Mesquita";11;3;5;-;4;1;2;17;19;19;24;18;29;24;40;76;86;86;99;74;131;-;768
"330290 Miguel Pereira";-;-;-;-;1;-;-;2;5;-;1;-;3;8;9;14;19;16;15;16;47;-;156
"330300 Miracema";4;-;1;-;-;1;1;4;3;-;3;4;6;4;11;9;10;16;17;10;35;-;139
"330310 Natividade";1;-;-;-;-;-;-;-;1;1;2;1;1;1;3;6;7;6;5;14;18;-;67
"330320 Nilópolis";7;4;1;-;-;-;2;14;20;13;11;19;22;22;40;90;84;90;84;69;131;2;725
"330330 Niterói";13;4;10;-;8;2;8;49;74;46;52;41;51;64;111;173;204;221;250;275;729;1;2386
"330340 Nova Friburgo";8;2;6;-;3;1;3;7;13;15;15;22;26;39;54;90;81;106;87;120;223;1;922
"330350 Nova Iguaçu";48;19;36;-;16;7;5;100;124;111;91;108;116;161;216;309;388;401;323;323;562;-;3464
"330360 Paracambi";3;-;-;-;-;-;1;7;7;7;6;3;7;7;13;18;27;33;33;30;34;1;237
"330370 Paraíba do Sul";5;-;1;-;2;-;1;2;3;2;5;6;4;13;12;12;9;26;29;21;52;-;205
"330380 Paraty";3;1;4;-;1;-;1;7;8;5;4;9;6;5;7;17;15;9;19;16;39;-;176
"330385 Paty do Alferes";1;-;1;-;-;1;-;4;3;7;3;5;1;7;5;8;10;13;7;15;38;1;130
"330390 Petrópolis";13;3;8;-;7;3;3;14;20;17;22;26;45;67;96;118;165;167;166;173;344;3;1480
"330395 Pinheiral";1;-;-;-;-;-;-;2;2;2;1;3;2;3;4;5;17;10;9;8;19;-;88
"330400 Piraí";2;-;1;-;-;-;-;2;-;2;4;5;2;6;5;9;9;18;8;14;25;-;112
"330410 Porciúncula";1;-;1;-;-;-;-;3;-;3;2;-;3;2;3;3;5;5;6;7;15;-;59
"330411 Porto Real";-;-;2;-;-;-;-;-;4;4;2;4;1;2;6;-;8;10;5;13;12;-;73
"330412 Quatis";1;-;-;-;-;-;-;1;1;2;-;2;2;-;3;6;7;7;7;7;14;-;60
"330414 Queimados";8;5;9;-;3;-;1;25;45;35;24;23;28;23;42;55;69;66;65;80;78;-;684
"330415 Quissamã";-;-;1;-;1;-;-;1;3;6;-;3;4;-;10;5;2;10;11;14;20;-;91
"330420 Resende";7;1;3;-;2;-;2;13;19;13;19;17;17;21;38;46;38;55;58;52;88;-;509
"330430 Rio Bonito";3;-;1;-;-;-;-;4;4;4;7;5;6;15;10;15;24;25;34;32;67;-;256
"330440 Rio Claro";1;-;-;-;-;-;-;-;1;2;3;1;1;3;8;4;11;15;7;8;15;-;80
"330450 Rio das Flores";1;-;-;-;-;-;-;-;-;-;-;1;-;1;2;3;4;4;7;5;8;-;36
"330452 Rio das Ostras";6;1;6;-;4;2;2;19;28;11;12;7;14;26;26;39;41;63;56;43;74;-;480
"330455 Rio de Janeiro";274;103;182;-;79;46;60;543;800;656;600;686;735;970;1495;2115;2793;3068;2967;2953;7085;92;28302
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;-;-;1;2;1;-;1;2;4;2;7;6;3;17;-;46
"330470 Santo Antônio de Pádua";3;1;2;-;2;1;2;3;5;1;5;5;9;6;8;9;26;23;24;21;57;-;213
"330480 São Fidélis";2;-;-;-;1;1;-;3;2;4;1;5;7;6;12;16;14;9;17;15;44;-;159
"330475 São Francisco de Itabapoana";1;1;2;-;-;-;-;5;3;10;3;-;5;9;20;19;17;23;24;30;44;-;216
"330490 São Gonçalo";35;11;35;-;9;6;7;137;159;122;92;109;132;178;256;362;451;486;481;440;841;11;4360
"330500 São João da Barra";-;2;3;-;1;1;-;1;4;-;3;4;4;6;9;10;22;19;14;19;42;-;164
"330510 São João de Meriti";28;6;14;-;5;7;9;58;77;58;34;62;60;73;113;173;226;251;233;172;331;8;1998
"330513 São José de Ubá";-;-;1;-;-;-;-;-;-;-;1;1;-;2;-;3;2;3;1;4;10;-;28
"330515 São José do Vale do Rio Preto";2;2;-;-;-;-;-;-;1;2;1;-;5;2;9;9;10;12;15;8;16;-;94
"330520 São Pedro da Aldeia";7;-;2;-;2;1;-;18;14;11;14;15;12;17;23;25;37;37;42;50;86;10;423
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;-;-;-;-;2;-;3;3;-;7;2;4;7;9;-;37
"330540 Sapucaia";2;-;-;-;-;-;-;2;1;-;-;1;2;4;6;8;6;6;15;3;30;-;86
"330550 Saquarema";8;2;4;-;1;-;-;6;8;5;6;13;12;10;28;38;44;51;49;39;69;-;393
"330555 Seropédica";5;2;8;-;2;1;2;5;9;5;10;11;12;20;16;32;32;31;36;39;70;-;348
"330560 Silva Jardim";1;1;-;-;-;-;-;2;3;5;2;4;6;1;7;5;13;9;10;10;30;1;110
"330570 Sumidouro";1;-;-;-;-;-;-;-;2;2;-;3;6;2;1;11;7;3;4;1;16;-;59
"330575 Tanguá";2;-;1;-;-;-;-;6;1;2;5;4;6;10;7;10;11;14;6;12;25;-;122
"330580 Teresópolis";7;5;2;-;8;1;1;11;15;10;11;27;24;32;55;76;90;83;83;81;196;-;818
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;-;2;2;5;-;3;6;6;8;4;4;12;-;52
"330600 Três Rios";4;-;6;-;-;1;1;5;7;13;6;9;17;16;16;29;46;43;44;33;80;1;377
"330610 Valença";3;1;4;-;-;-;1;4;5;6;8;7;8;21;20;24;38;39;38;30;72;1;330
"330615 Varre-Sai";2;-;-;-;-;-;-;-;-;1;1;-;2;-;1;1;1;2;5;4;8;-;28
"330620 Vassouras";3;-;-;-;-;-;2;2;3;2;4;3;6;4;11;15;22;14;23;21;33;1;169
"330630 Volta Redonda";16;7;3;-;4;2;5;23;32;23;28;21;32;40;78;108;148;133;116;122;270;-;1211
"330000 Município ignorado - RJ";-;-;-;-;-;-;-;8;30;30;36;38;31;28;31;43;33;18;16;20;19;523;904
