
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330100 Campos dos Goytacazes";37;14;24;4;2;10;67;55;70;64;67;67;107;146;167;169;178;186;218;383;-;2035
"330110 Cantagalo";3;-;1;-;1;-;2;2;1;3;1;4;3;5;5;12;7;10;14;22;-;96
"330093 Carapebus";-;1;1;-;-;-;4;-;4;1;1;2;5;5;6;1;4;3;3;12;-;53
"330115 Cardoso Moreira";-;-;-;-;1;-;3;1;3;2;2;1;2;6;3;3;7;7;5;19;-;65
"330120 Carmo";1;-;-;1;-;-;-;1;2;-;2;7;4;10;6;6;10;7;10;15;-;82
"330130 Casimiro de Abreu";2;-;-;2;1;-;2;4;6;4;3;2;10;12;12;13;12;9;8;30;-;132
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;2;1;-;1;1;2;3;3;2;5;5;5;8;-;38
"330140 Conceição de Macabu";1;-;-;-;-;-;6;5;2;6;3;3;6;7;3;7;3;9;13;23;-;97
"330150 Cordeiro";-;-;1;-;1;1;2;6;1;1;-;2;8;6;3;6;9;9;9;13;-;78
"330160 Duas Barras";-;-;-;-;1;1;1;1;-;3;4;1;1;3;6;1;5;3;4;11;-;46
"330170 Duque de Caxias";57;22;30;15;8;18;141;131;94;110;111;113;179;239;326;355;336;292;334;540;1;3452
"330180 Engenheiro Paulo de Frontin";2;-;-;-;-;-;-;1;-;2;3;2;2;4;5;3;8;4;6;12;-;54
"330185 Guapimirim";1;-;3;-;1;-;9;6;1;6;6;6;10;12;25;19;24;22;16;34;-;201
"330187 Iguaba Grande";1;1;1;-;-;-;5;-;1;2;2;1;7;3;8;13;13;16;12;23;-;109
"330190 Itaboraí";12;2;7;7;3;4;25;42;36;31;29;29;41;61;83;103;119;79;78;138;13;942
"330200 Itaguaí";13;-;1;-;3;3;24;26;15;11;18;16;21;43;41;50;41;54;56;69;4;509
"330205 Italva";-;-;-;-;-;-;-;-;4;1;2;1;3;2;4;7;9;8;6;20;1;68
"330210 Itaocara";-;-;-;-;-;-;2;3;-;6;5;3;3;7;5;9;7;9;15;49;-;123
"330220 Itaperuna";4;1;2;3;-;1;2;17;7;4;13;14;16;34;31;46;39;64;45;101;5;449
"330225 Itatiaia";2;-;1;-;-;-;1;5;4;2;5;5;8;12;8;9;15;11;11;17;-;116
"330227 Japeri";8;3;5;-;3;2;13;26;11;14;7;13;16;22;29;32;38;35;28;41;-;346
"330230 Laje do Muriaé";1;-;-;-;-;-;1;-;1;1;1;1;3;-;5;4;-;5;3;7;-;33
"330240 Macaé";18;2;4;4;3;5;31;35;26;32;40;22;33;37;56;60;65;49;59;104;2;687
"330245 Macuco";1;-;-;-;-;-;-;1;1;-;1;1;4;3;1;1;2;6;2;5;-;29
"330250 Magé";16;4;12;2;2;3;38;58;31;33;37;47;42;84;109;105;92;114;96;168;2;1095
"330260 Mangaratiba";1;1;-;-;-;-;7;7;9;4;3;3;6;14;12;20;19;14;11;26;3;160
"330270 Maricá";5;-;3;5;1;-;15;16;15;15;13;14;29;39;48;58;76;57;54;83;-;546
"330280 Mendes";-;-;-;-;1;-;-;2;-;2;3;4;3;7;5;14;13;10;20;23;-;107
"330285 Mesquita";5;2;4;2;2;3;13;22;23;17;26;33;14;48;63;76;81;74;71;113;1;693
"330290 Miguel Pereira";1;-;-;-;1;-;-;1;3;2;1;6;6;5;5;11;11;17;16;34;1;121
"330300 Miracema";-;-;2;1;-;-;1;4;4;4;1;7;6;13;13;8;15;16;18;32;-;145
"330310 Natividade";3;-;1;-;-;-;-;-;1;3;7;1;6;3;6;7;7;7;7;22;-;81
"330320 Nilópolis";9;5;5;1;3;3;30;38;35;27;28;30;22;58;76;85;70;81;80;141;2;829
"330330 Niterói";20;7;15;10;1;5;45;42;35;45;37;51;58;120;160;205;199;225;255;617;1;2153
"330340 Nova Friburgo";5;4;4;1;2;1;12;12;19;18;23;18;48;49;71;67;66;71;82;202;-;775
"330350 Nova Iguaçu";47;15;35;8;9;13;134;155;118;123;114;145;179;255;310;340;362;303;357;516;6;3544
"330360 Paracambi";2;1;2;-;-;-;5;6;5;6;10;12;9;13;22;20;23;18;23;31;-;208
"330370 Paraíba do Sul";1;1;1;-;-;-;1;6;6;2;7;6;10;18;16;21;19;21;18;51;-;205
"330380 Paraty";1;2;1;-;-;1;5;6;4;7;11;2;6;9;13;12;11;15;10;35;-;151
"330385 Paty do Alferes";1;-;1;2;-;1;3;4;-;1;3;5;3;7;8;9;10;12;14;28;2;114
"330390 Petrópolis";21;12;9;1;4;4;19;15;22;30;28;46;75;120;111;172;138;166;157;329;1;1480
"330395 Pinheiral";1;-;-;-;-;2;1;1;2;3;1;4;2;7;5;10;5;7;11;11;-;73
"330400 Piraí";2;-;-;2;-;1;-;1;1;1;3;4;9;8;12;13;11;9;12;24;-;113
"330410 Porciúncula";1;-;1;-;-;-;-;-;-;1;2;-;2;7;3;3;10;5;5;26;-;66
"330411 Porto Real";1;1;1;-;-;2;-;4;1;-;1;-;6;4;4;6;7;11;5;8;-;62
"330412 Quatis";-;1;1;-;-;-;-;2;3;1;3;1;6;2;5;4;2;1;6;11;-;49
"330414 Queimados";10;6;5;5;2;3;26;30;28;22;21;27;33;52;64;70;62;47;62;83;1;659
"330415 Quissamã";2;-;-;1;1;1;1;5;-;3;-;3;6;7;10;5;6;8;8;20;-;87
"330420 Resende";10;2;5;1;-;1;8;12;6;15;16;13;27;30;39;40;48;55;52;90;-;470
"330430 Rio Bonito";6;1;1;-;-;2;3;7;9;5;2;14;17;11;18;20;27;20;32;61;-;256
"330440 Rio Claro";-;-;-;-;-;-;-;1;-;-;4;2;3;3;8;8;10;9;7;15;-;70
"330450 Rio das Flores";2;-;1;-;-;-;-;2;1;2;-;1;2;1;3;7;6;6;4;9;-;47
"330452 Rio das Ostras";10;5;2;2;1;-;19;14;17;24;13;17;14;33;34;35;33;29;32;81;-;415
"330455 Rio de Janeiro";280;107;195;88;54;106;506;653;584;578;631;755;1036;1547;2070;2614;2586;2750;3049;6357;73;26619
"330460 Santa Maria Madalena";1;-;-;-;-;-;-;1;1;-;1;1;4;5;3;9;-;4;3;11;-;44
"330470 Santo Antônio de Pádua";2;-;-;1;-;-;5;3;5;3;8;4;7;9;9;21;21;20;23;46;-;187
"330480 São Fidélis";2;-;1;1;1;1;-;4;2;6;10;3;8;11;17;18;18;24;24;52;-;203
"330475 São Francisco de Itabapoana";6;1;2;3;-;4;2;5;6;8;12;11;13;8;12;20;14;20;13;29;-;189
"330490 São Gonçalo";56;9;31;13;8;18;129;116;98;109;96;113;187;270;349;408;406;447;415;704;12;3994
"330500 São João da Barra";2;2;3;1;-;1;3;5;4;7;9;5;8;12;10;15;16;19;13;44;-;179
"330510 São João de Meriti";37;8;21;5;4;11;76;88;62;63;58;67;93;139;177;210;226;207;199;287;10;2048
"330513 São José de Ubá";-;-;-;-;-;-;-;-;1;2;2;1;-;3;5;1;3;1;3;9;-;31
"330515 São José do Vale do Rio Preto";3;2;-;-;1;-;-;2;1;2;-;2;4;3;8;14;13;9;7;15;-;86
"330520 São Pedro da Aldeia";3;1;6;1;-;3;10;14;13;9;7;10;13;17;31;25;35;32;35;56;3;324
"330530 São Sebastião do Alto";-;1;-;-;-;-;1;1;2;3;-;3;4;2;3;4;6;3;7;8;-;48
"330540 Sapucaia";1;1;1;-;-;-;-;1;4;3;4;4;1;5;7;4;8;12;8;19;-;83
"330550 Saquarema";3;-;2;-;-;2;7;4;5;5;8;13;14;26;41;35;46;43;33;61;-;348
"330555 Seropédica";2;2;-;-;-;1;8;14;21;15;8;5;18;23;24;23;33;22;26;56;-;301
"330560 Silva Jardim";2;-;1;-;-;-;-;2;4;3;1;4;4;6;9;3;5;8;5;23;-;80
"330570 Sumidouro";1;-;1;-;-;-;2;1;1;2;2;2;4;7;5;8;9;4;7;13;-;69
"330575 Tanguá";-;-;1;-;-;1;2;4;1;2;10;3;4;6;10;15;10;15;11;16;-;111
"330580 Teresópolis";10;5;4;-;1;1;9;7;12;10;21;29;34;56;73;73;67;73;64;150;-;699
"330590 Trajano de Moraes";2;-;-;-;-;-;-;1;-;2;3;2;2;4;3;5;3;4;4;14;-;49
"330600 Três Rios";6;2;2;1;-;1;4;6;5;8;13;11;20;25;36;34;30;30;36;56;-;326
"330610 Valença";4;1;-;1;-;2;3;6;5;2;10;9;20;24;24;36;31;28;45;71;2;324
"330615 Varre-Sai";-;-;-;-;-;-;-;-;2;-;1;2;1;2;1;4;2;4;2;6;-;27
"330620 Vassouras";3;-;-;2;-;-;1;4;4;6;4;3;12;9;23;17;11;22;16;31;1;169
"330630 Volta Redonda";7;3;7;5;5;5;8;21;30;29;29;31;34;80;110;132;111;106;96;245;-;1094
"330000 Município ignorado - RJ";8;1;-;-;-;-;16;45;39;41;46;32;43;45;32;30;21;16;11;16;728;1170
