
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330093 Carapebus";-;-;1;1;-;-;1;-;-;2;-;-;4;-;1;4;6;2;4;7;-;33
"330115 Cardoso Moreira";1;1;1;1;-;-;-;-;1;-;1;2;3;3;2;1;1;5;2;15;-;40
"330120 Carmo";1;-;-;-;-;-;1;2;-;-;1;-;2;3;8;4;6;3;8;21;-;60
"330130 Casimiro de Abreu";3;1;2;-;-;-;1;1;-;2;2;4;2;8;6;8;6;7;11;39;-;103
"330095 Comendador Levy Gasparian";-;-;1;-;-;-;-;2;-;-;1;-;1;2;1;7;3;2;2;5;-;27
"330140 Conceição de Macabu";-;-;1;-;-;-;1;1;2;-;2;2;3;5;5;3;6;6;6;27;-;70
"330150 Cordeiro";1;-;1;1;-;1;-;1;1;2;2;2;7;3;7;4;4;7;8;40;-;92
"330160 Duas Barras";-;-;-;-;-;-;-;-;1;-;2;2;-;1;1;3;1;2;7;15;-;35
"330170 Duque de Caxias";37;19;20;13;5;8;14;21;24;51;57;63;95;152;218;254;306;307;349;865;-;2878
"330180 Engenheiro Paulo de Frontin";1;1;-;-;-;-;2;-;1;-;1;2;-;3;1;2;7;5;8;34;-;68
"330185 Guapimirim";2;-;1;-;1;-;1;3;-;2;-;4;10;10;11;13;13;20;19;43;-;153
"330187 Iguaba Grande";-;-;-;1;-;-;-;-;1;1;3;4;2;3;3;7;6;11;8;34;-;84
"330190 Itaboraí";10;3;8;6;3;-;7;5;8;9;16;18;32;52;61;59;76;74;73;198;-;718
"330200 Itaguaí";6;2;1;-;1;-;3;-;6;7;14;18;16;15;31;35;33;35;37;108;-;368
"330205 Italva";-;-;-;-;-;-;-;-;-;1;-;1;-;2;2;1;5;7;6;19;-;44
"330210 Itaocara";1;1;-;-;1;-;2;-;-;3;-;3;4;2;7;10;6;16;13;38;-;107
"330220 Itaperuna";2;2;-;2;-;1;-;3;5;5;6;5;12;14;22;30;34;47;36;130;1;357
"330225 Itatiaia";1;-;-;-;1;-;-;-;-;3;-;4;1;4;4;10;7;9;8;23;-;75
"330227 Japeri";5;3;4;2;1;-;4;4;4;3;8;13;17;15;27;25;27;23;45;64;-;294
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;3;2;3;4;1;-;2;4;17;-;36
"330240 Macaé";13;6;7;1;1;2;6;6;7;9;17;23;21;38;31;33;45;45;60;150;-;521
"330245 Macuco";1;-;-;-;-;-;1;1;-;1;-;1;-;1;2;1;5;3;-;12;-;29
"330250 Magé";9;6;5;4;1;3;4;1;9;12;18;25;37;71;57;69;83;96;109;284;-;903
"330260 Mangaratiba";1;1;1;1;-;-;-;2;2;1;4;4;2;9;8;8;10;10;20;45;1;130
"330270 Maricá";3;3;4;1;-;-;4;2;5;3;9;13;14;22;32;39;39;56;47;172;1;469
"330280 Mendes";1;-;-;1;-;-;-;2;1;-;1;1;1;2;7;5;8;7;10;29;-;76
"330285 Mesquita";5;6;11;4;1;1;6;3;3;7;13;17;24;43;57;58;65;67;80;188;-;659
"330290 Miguel Pereira";3;1;1;-;-;-;-;-;-;1;1;2;7;7;4;6;4;9;14;47;-;107
"330300 Miracema";3;1;-;1;-;-;2;1;1;3;3;1;3;4;6;4;9;6;12;55;-;115
"330310 Natividade";-;-;-;-;-;-;-;-;-;-;1;1;2;3;2;2;4;2;8;37;-;62
"330320 Nilópolis";5;6;5;2;-;1;3;8;6;10;16;15;21;40;50;58;62;69;89;254;1;721
"330330 Niterói";7;6;10;5;2;6;10;6;12;12;22;27;42;64;112;139;166;199;301;1101;2;2251
"330340 Nova Friburgo";4;2;3;-;1;1;5;4;4;6;8;9;19;28;47;46;60;74;82;307;-;710
"330350 Nova Iguaçu";36;15;22;17;2;13;25;24;15;39;54;82;110;172;203;243;302;310;363;833;-;2880
"330360 Paracambi";-;1;1;1;2;-;-;-;1;1;4;2;12;13;16;19;18;29;22;76;-;218
"330370 Paraíba do Sul";-;1;2;-;-;1;-;-;1;5;3;4;5;12;10;8;11;18;8;58;-;147
"330380 Paraty";3;-;1;-;-;-;-;4;1;3;3;5;2;1;12;6;8;14;5;28;-;96
"330385 Paty do Alferes";1;-;-;-;-;1;1;-;-;3;4;2;4;5;7;5;10;14;11;33;-;101
"330390 Petrópolis";7;5;5;2;2;1;6;3;9;7;19;18;36;51;73;83;126;112;156;509;-;1230
"330395 Pinheiral";1;-;1;1;-;-;-;-;-;1;1;2;4;2;3;4;5;5;6;26;-;62
"330400 Piraí";-;1;-;-;-;-;2;2;-;2;-;2;-;5;5;5;9;5;10;27;-;75
"330410 Porciúncula";2;1;-;1;-;-;-;-;-;1;3;2;2;2;4;1;4;8;4;25;-;60
"330411 Porto Real";1;-;-;-;-;-;1;-;-;-;1;2;2;7;-;7;7;9;4;12;-;53
"330412 Quatis";-;-;-;-;1;-;-;-;-;1;1;1;2;2;3;4;4;5;8;14;-;46
"330414 Queimados";1;2;8;5;2;2;10;6;6;10;17;9;19;37;30;37;39;55;58;139;-;492
"330415 Quissamã";3;-;1;-;-;-;-;-;-;-;1;1;1;5;1;3;7;4;3;23;-;53
"330420 Resende";3;3;5;1;-;2;-;1;3;7;6;8;15;18;19;25;39;45;42;148;-;390
"330430 Rio Bonito";2;-;-;1;-;2;-;-;2;4;5;6;10;10;15;14;11;16;23;61;1;183
"330440 Rio Claro";1;-;-;-;-;-;1;-;-;1;1;2;-;2;4;5;5;7;7;21;-;57
"330450 Rio das Flores";-;-;-;-;-;-;-;-;1;-;2;-;1;1;-;3;2;-;2;15;-;27
"330452 Rio das Ostras";3;1;2;2;2;3;3;3;2;4;7;10;8;17;26;30;23;35;37;92;-;310
"330455 Rio de Janeiro";237;86;177;77;29;41;124;143;226;303;437;514;661;1109;1505;1993;2285;2541;3302;12431;21;28242
"330460 Santa Maria Madalena";-;1;-;1;-;-;-;-;-;1;-;1;1;2;2;1;3;3;4;11;-;31
"330470 Santo Antônio de Pádua";1;1;1;-;1;1;-;3;-;3;3;2;3;10;6;6;9;12;25;67;-;154
"330480 São Fidélis";1;-;-;-;-;-;-;-;2;4;3;4;3;6;5;7;12;13;12;62;-;134
"330475 São Francisco de Itabapoana";1;-;-;1;-;1;-;-;2;2;3;3;3;10;8;2;13;13;13;33;-;108
"330490 São Gonçalo";21;15;21;11;7;6;17;31;32;45;55;84;126;176;262;319;329;325;424;1207;7;3520
"330500 São João da Barra";2;1;4;1;1;-;2;2;3;3;2;4;6;5;7;15;12;9;19;41;-;139
"330510 São João de Meriti";23;13;16;4;2;1;12;13;17;14;30;45;58;109;160;169;183;170;219;532;8;1798
"330513 São José de Ubá";-;-;1;-;-;-;-;-;-;1;-;-;-;2;2;1;1;3;-;15;-;26
"330515 São José do Vale do Rio Preto";-;1;-;-;-;-;-;-;-;-;1;-;1;6;4;2;13;3;9;18;-;58
"330520 São Pedro da Aldeia";3;1;4;-;1;1;3;4;1;1;-;8;9;8;19;20;26;25;28;97;-;259
"330530 São Sebastião do Alto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;4;3;7;-;20
"330540 Sapucaia";1;-;-;1;-;-;2;-;-;1;1;3;2;4;5;8;6;10;3;16;-;63
"330550 Saquarema";4;1;4;2;1;-;-;3;-;4;3;8;8;8;15;23;21;21;33;108;-;267
"330555 Seropédica";4;-;1;-;-;-;1;1;3;1;8;8;17;13;20;27;27;20;38;54;-;243
"330560 Silva Jardim";1;-;2;-;-;-;2;1;-;2;1;2;1;5;3;6;4;10;11;30;-;81
"330570 Sumidouro";-;-;1;-;-;-;-;-;2;-;-;1;2;3;5;3;3;4;5;10;-;39
"330575 Tanguá";2;-;1;-;-;1;1;5;1;1;7;6;2;8;8;5;11;11;12;29;-;111
"330580 Teresópolis";5;2;6;1;2;-;3;1;-;5;9;11;20;28;35;38;54;54;76;253;-;603
"330590 Trajano de Moraes";-;-;1;-;-;-;-;-;2;-;2;-;1;2;1;5;2;1;3;14;-;34
"330600 Três Rios";4;3;1;3;-;2;1;-;1;2;6;9;6;24;14;26;19;22;41;87;-;271
"330610 Valença";4;-;-;-;-;-;1;2;2;5;6;9;9;12;19;23;29;31;33;114;-;299
"330615 Varre-Sai";1;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;2;5;1;10;-;26
"330620 Vassouras";2;-;-;-;-;-;-;1;-;1;2;2;8;7;5;11;8;23;10;64;-;144
"330630 Volta Redonda";4;-;2;1;-;1;2;2;7;10;12;17;37;44;77;93;85;95;110;358;-;957
"330000 Município ignorado - RJ";3;-;1;-;-;-;3;4;4;6;3;2;7;3;2;5;3;6;3;10;119;184
