
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330570 Sumidouro";-;-;-;-;-;-;2;2;1;1;3;4;4;2;2;5;5;5;5;10;-;51
"330575 Tanguá";1;-;1;-;1;-;-;5;6;5;4;5;3;8;15;8;12;6;7;15;-;102
"330580 Teresópolis";12;1;6;5;2;1;13;14;11;12;19;30;42;58;68;60;56;69;93;136;1;709
"330590 Trajano de Moraes";-;-;-;-;-;1;-;1;1;-;1;5;1;3;3;3;5;8;7;7;-;46
"330600 Três Rios";4;-;3;2;-;-;5;7;6;14;4;10;21;26;32;24;49;36;43;69;2;357
"330610 Valença";5;2;3;-;1;2;3;3;7;6;5;13;10;21;30;31;35;38;40;62;-;317
"330615 Varre-Sai";1;-;1;-;-;-;-;-;1;3;1;2;1;2;-;4;2;4;5;7;-;34
"330620 Vassouras";2;2;-;-;-;-;-;1;7;5;4;6;10;15;9;18;17;18;18;42;-;174
"330630 Volta Redonda";7;3;6;6;-;3;18;28;36;35;26;36;52;84;96;116;97;102;109;223;-;1083
"330000 Município ignorado - RJ";8;-;2;-;-;1;13;51;35;28;38;30;36;42;30;14;18;8;10;2;975;1341
