
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330120 Carmo";2;1;-;1;-;-;-;-;1;1;1;-;1;3;3;5;5;3;14;28;-;69
"330130 Casimiro de Abreu";-;-;-;1;-;-;-;-;2;1;1;4;5;5;5;5;7;11;14;36;-;97
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;1;1;1;-;1;1;2;4;1;2;4;10;-;28
"330140 Conceição de Macabu";-;1;-;-;-;-;-;2;1;2;1;3;3;3;2;1;2;4;6;24;-;55
"330150 Cordeiro";2;2;-;-;-;-;-;-;3;1;-;1;1;4;7;5;10;6;4;25;-;71
"330160 Duas Barras";1;-;1;1;-;-;1;1;-;-;2;-;1;1;5;1;2;1;3;13;-;34
"330170 Duque de Caxias";37;24;35;13;9;7;18;33;40;46;65;76;131;203;230;246;237;302;339;735;1;2827
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;1;-;-;1;-;-;-;2;2;3;2;4;8;15;-;38
"330185 Guapimirim";2;-;1;-;-;1;-;1;-;1;5;10;8;9;13;15;12;18;14;46;-;156
"330187 Iguaba Grande";-;-;-;-;-;-;-;1;-;1;-;2;3;4;4;8;5;4;4;37;-;73
"330190 Itaboraí";10;5;8;7;4;2;7;7;8;15;13;14;25;38;62;57;61;67;92;206;1;709
"330200 Itaguaí";3;3;4;4;1;1;5;4;4;9;9;10;18;23;28;23;35;26;48;110;-;368
"330205 Italva";-;1;-;-;-;-;-;-;1;1;1;-;-;2;3;2;4;4;3;28;-;50
"330210 Itaocara";1;-;-;-;-;-;-;-;-;1;1;1;2;2;7;3;6;10;9;53;-;96
"330220 Itaperuna";3;1;1;-;1;1;2;5;2;5;5;9;16;13;21;21;19;22;40;124;-;311
"330225 Itatiaia";2;1;1;-;1;-;1;-;1;2;3;7;2;2;3;7;2;10;10;23;-;78
"330227 Japeri";7;3;4;1;-;-;6;1;5;3;7;6;17;23;15;18;31;25;22;72;-;266
"330230 Laje do Muriaé";-;-;1;-;-;-;-;1;1;-;-;1;2;-;1;1;1;2;3;10;-;24
"330240 Macaé";10;1;8;1;1;3;5;9;8;13;13;18;23;24;38;26;31;33;48;155;1;469
"330245 Macuco";-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;5;1;2;9;-;21
"330250 Magé";10;3;11;4;2;3;4;7;8;14;20;15;34;45;50;75;70;90;73;237;1;776
"330260 Mangaratiba";2;-;2;-;1;-;-;-;-;3;4;4;4;10;9;3;9;14;16;51;-;132
"330270 Maricá";5;3;3;2;-;2;2;1;1;4;3;7;20;21;28;32;33;33;50;144;-;394
"330280 Mendes";1;-;-;-;3;-;-;-;1;-;-;3;4;9;4;5;7;5;2;29;-;73
"330285 Mesquita";6;1;6;4;1;1;2;4;9;4;9;14;28;46;45;43;57;76;84;207;-;647
"330290 Miguel Pereira";-;-;-;1;-;-;-;1;1;-;1;5;6;12;5;9;5;10;13;45;-;114
"330300 Miracema";1;-;-;2;-;-;-;1;-;2;1;2;4;11;3;4;10;18;14;53;-;126
"330310 Natividade";1;-;-;-;1;-;-;-;-;-;2;1;1;2;3;1;5;4;8;25;-;54
"330320 Nilópolis";4;3;3;1;-;2;6;2;10;8;8;13;27;39;50;54;64;86;86;185;-;651
"330330 Niterói";13;4;11;1;1;4;7;9;8;21;23;34;54;83;101;149;160;186;254;1008;-;2131
"330340 Nova Friburgo";9;-;5;1;-;2;5;-;9;7;13;14;22;39;36;38;48;52;56;242;1;599
"330350 Nova Iguaçu";38;20;31;14;7;14;20;21;36;43;58;83;136;146;195;259;255;270;328;748;1;2723
"330360 Paracambi";2;1;2;-;1;1;-;2;5;1;7;3;6;9;15;13;22;15;16;51;-;172
"330370 Paraíba do Sul";2;-;1;-;-;-;2;1;-;3;1;3;3;12;7;18;14;18;16;43;-;144
"330380 Paraty";1;-;1;-;1;-;2;-;2;1;1;4;4;3;6;3;3;4;12;23;-;71
"330385 Paty do Alferes";2;1;1;-;-;-;-;-;-;1;1;3;3;4;2;9;3;7;14;35;-;86
"330390 Petrópolis";6;5;4;4;1;3;3;7;6;9;11;35;46;57;56;93;103;107;181;502;1;1240
"330395 Pinheiral";1;-;-;-;-;1;-;-;1;1;2;-;3;1;7;10;7;10;9;23;-;76
"330400 Piraí";1;-;-;-;-;2;1;-;2;2;3;2;4;3;10;7;2;8;9;21;-;77
"330410 Porciúncula";1;1;-;1;-;-;-;-;-;-;-;-;3;2;4;4;4;6;8;20;-;54
"330411 Porto Real";1;-;2;1;-;-;-;-;-;2;-;1;-;1;4;4;1;3;7;10;-;37
"330412 Quatis";-;-;-;-;-;-;-;-;1;-;1;-;1;3;1;2;5;3;5;10;-;32
"330414 Queimados";8;2;5;3;1;1;5;2;5;9;12;14;24;36;32;34;50;48;57;132;1;481
"330415 Quissamã";-;-;-;-;-;-;-;-;-;2;2;2;4;10;5;4;2;2;-;19;-;52
"330420 Resende";3;3;-;3;1;3;2;3;1;3;5;11;18;18;26;27;24;43;34;140;-;368
"330430 Rio Bonito";-;1;-;-;-;-;1;2;4;3;6;3;5;9;6;18;9;14;25;51;-;157
"330440 Rio Claro";-;-;1;1;-;-;1;1;1;1;-;-;-;5;5;2;2;2;8;17;-;47
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;1;3;1;-;3;2;3;6;6;8;-;33
"330452 Rio das Ostras";5;-;2;4;-;1;2;2;7;3;11;14;16;10;21;27;15;20;22;83;-;265
"330455 Rio de Janeiro";211;90;201;88;36;54;120;154;188;280;367;518;808;1167;1546;1846;2000;2476;3212;10813;16;26191
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;4;2;3;2;14;-;30
"330470 Santo Antônio de Pádua";-;2;2;1;1;-;1;-;5;3;5;4;8;11;6;13;11;23;18;77;-;191
"330480 São Fidélis";2;1;-;-;-;-;1;3;2;-;4;5;5;7;2;13;13;15;25;57;-;155
"330475 São Francisco de Itabapoana";2;1;3;1;-;1;-;-;4;1;1;4;4;3;9;6;12;5;7;46;-;110
"330490 São Gonçalo";37;15;26;12;5;11;21;21;27;44;53;71;119;177;232;262;311;356;398;1036;4;3238
"330500 São João da Barra";2;-;1;1;2;1;-;1;2;4;-;3;5;6;6;8;12;9;19;47;-;129
"330510 São João de Meriti";18;9;19;4;6;6;10;11;19;32;25;41;73;88;130;159;159;171;195;472;2;1649
"330513 São José de Ubá";-;-;1;-;-;-;-;-;-;-;-;1;2;2;4;3;1;1;4;6;-;25
"330515 São José do Vale do Rio Preto";1;-;-;-;-;1;-;-;-;1;-;1;3;4;4;3;1;9;6;25;-;59
"330520 São Pedro da Aldeia";5;1;2;1;-;-;4;3;1;3;4;3;7;8;12;18;18;17;32;85;3;227
"330530 São Sebastião do Alto";-;-;-;1;-;-;-;-;-;-;-;-;3;3;2;-;2;2;1;12;-;26
"330540 Sapucaia";1;-;1;1;1;-;1;2;1;-;3;4;5;1;7;6;9;9;11;17;-;80
"330550 Saquarema";6;1;1;2;1;-;2;2;-;2;2;6;11;14;10;14;21;24;30;89;-;238
"330555 Seropédica";-;-;-;1;-;2;3;2;1;1;5;4;15;8;22;21;21;31;35;72;-;244
"330560 Silva Jardim";1;-;1;-;1;1;-;3;-;-;1;2;2;4;1;4;4;4;4;19;-;52
"330570 Sumidouro";-;1;-;-;-;-;1;1;-;-;1;3;1;3;4;2;3;3;1;14;-;38
"330575 Tanguá";-;-;2;1;-;-;-;-;3;3;1;3;1;4;6;10;12;7;8;30;-;91
"330580 Teresópolis";3;1;1;2;2;2;3;1;5;8;11;17;22;35;45;41;52;49;66;223;-;589
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;1;-;3;1;2;-;1;3;3;5;13;-;32
"330600 Três Rios";5;2;1;1;-;-;4;3;4;3;7;9;7;18;24;22;27;22;34;97;-;290
"330610 Valença";-;1;2;-;3;-;1;3;2;5;3;3;8;13;20;19;36;29;29;124;-;301
"330615 Varre-Sai";-;-;2;-;-;-;-;1;-;-;3;2;-;-;1;1;1;1;2;9;-;23
"330620 Vassouras";1;-;3;-;-;-;3;-;2;-;3;5;8;3;10;10;10;11;20;46;-;135
"330630 Volta Redonda";9;3;4;3;1;-;2;3;10;9;16;18;34;39;63;72;68;93;132;291;-;870
"330000 Município ignorado - RJ";7;-;1;-;-;-;1;4;9;14;2;2;6;5;6;10;1;2;6;13;144;233
