
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330187 Iguaba Grande";1;1;1;-;1;-;2;2;-;4;3;4;3;9;12;9;17;14;13;36;-;132
"330190 Itaboraí";13;2;6;3;3;3;23;31;26;17;32;49;59;55;79;106;95;96;97;138;12;945
"330200 Itaguaí";15;1;3;2;1;1;19;30;14;15;15;24;21;31;48;48;67;51;53;73;1;533
"330205 Italva";-;-;-;1;-;-;-;1;-;1;1;3;1;-;5;6;4;5;11;17;-;56
"330210 Itaocara";-;1;2;-;-;-;-;1;6;6;7;4;7;8;9;15;10;9;18;33;-;136
"330220 Itaperuna";6;1;-;1;-;1;1;4;9;12;10;17;13;30;37;35;49;42;53;108;3;432
"330225 Itatiaia";-;-;-;-;-;-;2;4;2;1;4;2;3;9;10;11;12;10;14;18;-;102
"330227 Japeri";8;-;7;2;1;3;13;27;20;14;15;18;22;27;39;30;41;44;25;48;3;407
"330230 Laje do Muriaé";-;-;-;-;-;-;-;1;-;1;2;-;2;3;1;4;7;5;5;8;1;40
"330240 Macaé";13;4;6;2;1;1;18;45;32;33;29;17;32;54;64;61;57;61;70;105;6;711
"330245 Macuco";2;-;-;-;-;-;-;-;-;2;-;1;-;3;1;2;3;5;4;10;-;33
"330250 Magé";10;7;16;9;1;6;28;38;31;25;31;41;52;79;101;102;115;108;108;157;-;1065
"330260 Mangaratiba";4;-;1;-;1;1;4;4;9;4;2;6;13;13;17;16;23;11;16;34;1;180
"330270 Maricá";7;2;3;6;-;-;14;13;13;20;17;21;16;41;65;52;56;58;52;111;3;570
"330280 Mendes";-;-;-;-;-;-;-;-;4;2;1;3;9;9;6;16;12;8;8;17;-;95
"330285 Mesquita";10;5;10;2;1;1;15;27;20;20;20;18;34;50;65;79;75;89;66;134;-;741
"330290 Miguel Pereira";1;-;2;-;1;-;1;1;-;3;-;2;7;7;10;13;10;13;14;28;1;114
"330300 Miracema";1;-;-;-;-;1;2;-;2;1;3;5;6;10;13;11;12;17;16;33;1;134
"330310 Natividade";1;-;1;-;-;-;-;2;2;2;2;2;4;3;8;8;8;8;11;30;-;92
"330320 Nilópolis";6;3;2;2;-;-;22;23;23;18;20;34;27;54;70;89;64;90;77;136;3;763
"330330 Niterói";19;5;15;14;4;5;49;56;44;41;40;54;69;127;172;223;210;190;215;595;1;2148
"330340 Nova Friburgo";3;1;3;1;1;1;10;10;21;9;26;16;35;54;60;88;106;95;108;204;1;853
"330350 Nova Iguaçu";51;14;29;20;4;10;108;130;99;94;108;117;157;251;310;333;388;329;300;548;4;3404
"330360 Paracambi";1;-;1;-;-;-;6;7;5;8;6;4;8;7;18;25;20;23;24;32;-;195
"330370 Paraíba do Sul";3;2;1;-;-;-;1;1;1;3;4;7;3;11;21;17;12;20;19;32;1;159
"330380 Paraty";2;1;3;1;1;1;9;8;6;4;5;3;9;7;5;16;11;13;14;24;-;143
"330385 Paty do Alferes";-;-;2;-;1;-;1;2;3;3;3;2;4;9;9;14;9;14;17;27;-;120
"330390 Petrópolis";25;8;10;2;1;2;9;11;23;26;33;39;63;100;113;146;162;163;166;284;1;1387
"330395 Pinheiral";-;1;2;1;-;-;2;2;1;2;5;5;5;8;8;7;10;6;14;22;-;101
"330400 Piraí";2;-;-;1;-;1;-;1;1;1;3;6;11;12;10;10;10;17;9;18;-;113
"330410 Porciúncula";-;-;-;1;-;-;-;1;2;3;1;2;4;5;7;5;6;11;10;19;-;77
"330411 Porto Real";1;1;-;-;-;1;4;1;4;2;2;2;2;7;7;14;12;8;9;11;-;88
"330412 Quatis";-;-;-;-;-;-;-;2;-;1;4;-;2;1;3;12;7;5;3;10;-;50
"330414 Queimados";8;3;11;1;4;6;23;40;29;16;26;32;19;31;46;64;55;56;57;97;3;627
"330415 Quissamã";-;-;-;1;-;1;2;5;1;3;-;1;5;3;7;6;5;9;11;18;-;78
"330420 Resende";2;2;1;-;1;2;7;16;11;13;10;19;29;33;31;46;69;46;44;104;-;486
"330430 Rio Bonito";2;1;1;-;-;-;2;2;4;8;11;10;6;17;26;32;30;17;17;55;-;241
"330440 Rio Claro";-;1;-;-;-;-;2;3;2;2;1;2;2;7;4;8;4;10;5;20;-;73
"330450 Rio das Flores";1;-;-;-;-;-;-;1;2;1;1;1;7;6;7;6;4;6;4;12;-;59
"330452 Rio das Ostras";9;2;3;3;-;3;27;19;13;13;18;26;27;25;33;36;28;39;43;59;-;426
"330455 Rio de Janeiro";280;113;201;78;47;80;478;668;561;556;616;688;953;1559;2025;2637;2771;2740;2939;6750;57;26797
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;2;1;2;2;1;-;1;4;3;3;4;5;4;-;32
"330470 Santo Antônio de Pádua";2;-;-;-;1;-;2;4;3;7;6;7;9;17;21;17;26;18;25;49;-;214
"330480 São Fidélis";3;-;1;-;-;-;3;3;1;2;4;6;13;8;15;21;16;14;21;53;-;184
"330475 São Francisco de Itabapoana";2;1;2;-;1;-;5;6;9;7;10;6;8;11;11;24;14;16;13;36;-;182
"330490 São Gonçalo";42;13;37;6;5;15;111;123;103;103;100;148;171;259;344;385;455;430;447;706;16;4019
"330500 São João da Barra";3;-;1;-;-;-;4;5;3;5;9;7;10;11;18;17;16;23;21;39;-;192
"330510 São João de Meriti";28;15;20;7;3;5;47;66;51;38;52;64;84;141;168;232;208;189;189;308;12;1927
"330513 São José de Ubá";-;-;-;-;-;-;-;-;-;-;2;-;-;2;3;1;2;2;2;9;-;23
"330515 São José do Vale do Rio Preto";2;1;-;-;1;1;-;2;4;1;4;4;8;10;12;10;10;5;6;19;-;100
"330520 São Pedro da Aldeia";8;3;2;1;-;2;15;12;7;9;11;16;13;30;31;27;40;33;37;55;2;354
"330530 São Sebastião do Alto";-;-;-;-;1;-;-;4;1;1;1;-;2;4;6;2;6;2;6;11;-;47
"330540 Sapucaia";1;1;2;-;-;-;-;2;-;7;2;3;3;5;7;7;5;7;7;22;-;81
"330550 Saquarema";5;7;3;-;-;-;4;8;3;5;6;9;21;25;29;33;47;41;31;71;2;350
"330555 Seropédica";4;1;5;-;-;-;9;12;11;7;12;14;22;29;30;36;37;19;29;58;-;335
"330560 Silva Jardim";2;-;-;1;1;-;3;-;4;-;6;2;8;2;7;11;7;8;10;24;-;96
"330570 Sumidouro";4;2;-;-;-;1;-;1;-;-;4;4;4;-;6;4;3;1;5;13;-;52
"330575 Tanguá";3;1;3;3;-;-;2;1;3;2;6;-;3;6;10;14;14;12;11;18;2;114
"330580 Teresópolis";5;2;3;3;2;1;3;17;10;7;13;23;24;59;52;76;79;87;72;152;1;691
"330590 Trajano de Moraes";1;-;-;-;-;-;-;3;-;-;3;2;3;3;4;7;3;2;4;16;-;51
"330600 Três Rios";7;1;4;1;2;-;3;3;8;6;12;9;19;18;33;32;36;43;27;73;-;337
"330610 Valença";5;1;2;3;-;-;7;6;5;12;6;13;18;17;20;30;34;31;45;66;1;322
"330615 Varre-Sai";1;-;-;-;-;1;-;1;2;1;1;1;-;-;6;3;6;5;6;12;-;46
"330620 Vassouras";2;-;3;1;-;-;1;3;1;4;2;5;8;8;17;12;16;19;23;34;-;159
"330630 Volta Redonda";9;6;6;5;4;6;15;15;17;24;23;32;45;67;99;123;126;109;123;239;-;1093
"330000 Município ignorado - RJ";1;-;3;1;-;1;20;29;33;38;37;47;27;46;25;29;15;16;13;23;573;977
