
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330140 Conceição de Macabu";2;-;1;-;1;-;-;-;-;1;-;1;5;3;2;2;7;6;6;15;-;52
"330150 Cordeiro";1;-;-;-;1;1;-;-;1;2;3;2;5;5;3;3;4;8;9;22;-;70
"330160 Duas Barras";-;-;-;-;-;-;-;-;3;-;-;1;1;3;4;2;-;5;3;10;-;32
"330170 Duque de Caxias";37;17;32;19;15;8;21;30;29;43;65;86;160;196;202;272;283;318;335;733;2;2903
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;1;-;-;1;-;-;-;2;1;3;2;5;3;6;14;-;38
"330185 Guapimirim";3;-;1;1;-;1;1;-;2;5;-;5;7;12;12;17;11;18;19;39;1;155
"330187 Iguaba Grande";2;-;1;1;-;-;-;-;1;2;4;3;4;5;7;5;9;12;12;35;-;103
"330190 Itaboraí";5;2;9;3;1;3;2;4;7;8;8;24;31;48;50;55;83;73;69;172;-;657
"330200 Itaguaí";6;1;2;2;3;1;1;3;3;8;8;12;15;15;29;23;29;23;42;79;-;305
"330205 Italva";-;-;-;1;-;-;-;-;-;1;-;2;-;3;3;2;4;12;2;16;-;46
"330210 Itaocara";1;-;-;-;-;-;1;2;2;1;-;2;3;3;6;5;8;10;11;43;-;98
"330220 Itaperuna";4;1;-;2;-;2;2;1;9;6;7;11;7;16;17;22;28;25;43;142;-;345
"330225 Itatiaia";1;-;-;-;-;-;3;1;-;1;-;7;3;3;5;5;9;11;11;24;-;84
"330227 Japeri";5;3;3;6;-;-;3;-;4;10;10;12;13;20;12;34;30;29;26;63;-;283
"330230 Laje do Muriaé";-;-;-;1;-;-;-;1;1;-;-;1;1;2;2;2;4;5;2;9;-;31
"330240 Macaé";8;4;5;1;2;2;3;5;9;13;8;5;20;31;30;40;46;35;36;127;1;431
"330245 Macuco";1;-;1;-;-;-;-;-;-;-;-;1;1;-;2;4;5;4;5;9;-;33
"330250 Magé";16;4;11;2;2;1;6;5;8;10;14;16;41;58;48;63;80;81;99;198;-;763
"330260 Mangaratiba";1;-;2;-;-;-;-;-;-;1;-;3;9;5;7;8;11;6;12;45;-;110
"330270 Maricá";4;1;5;1;-;4;2;1;1;3;11;11;12;21;25;23;30;45;44;128;-;372
"330280 Mendes";1;-;-;-;-;-;-;-;-;1;-;3;3;3;6;6;5;9;14;28;1;80
"330285 Mesquita";8;2;7;-;2;1;2;9;7;2;16;15;32;48;48;48;63;67;76;193;1;647
"330290 Miguel Pereira";-;-;1;-;-;1;1;2;-;-;-;1;2;1;5;8;6;13;10;44;-;95
"330300 Miracema";-;-;3;-;-;-;1;-;1;1;2;2;3;5;6;8;7;11;9;38;-;97
"330310 Natividade";-;-;1;2;-;-;1;1;-;-;2;1;3;2;1;5;2;7;10;19;-;57
"330320 Nilópolis";7;3;2;2;1;2;9;1;5;8;10;17;36;50;50;62;68;62;95;270;1;761
"330330 Niterói";12;8;6;2;3;3;9;12;13;20;24;30;53;82;118;130;143;194;239;963;-;2064
"330340 Nova Friburgo";10;3;7;9;16;12;11;9;19;21;19;18;33;48;54;49;68;66;75;257;10;814
"330350 Nova Iguaçu";43;17;31;21;7;11;15;20;30;45;49;66;134;174;225;223;266;315;342;765;4;2803
"330360 Paracambi";1;-;2;-;-;-;-;5;1;-;2;5;8;15;11;15;21;24;18;55;-;183
"330370 Paraíba do Sul";-;1;-;1;-;-;1;-;-;2;2;5;6;14;13;4;6;10;24;56;-;145
"330380 Paraty";-;2;-;-;-;1;-;-;-;1;2;1;2;7;3;3;8;6;8;20;-;64
"330385 Paty do Alferes";1;-;1;-;-;-;1;-;-;2;1;3;6;5;3;3;10;15;13;21;-;85
"330390 Petrópolis";23;4;9;1;5;4;2;8;8;16;19;29;51;51;86;109;101;129;137;499;2;1293
"330395 Pinheiral";3;-;-;-;-;-;-;1;1;3;1;1;1;5;8;4;6;9;5;25;-;73
"330400 Piraí";2;1;1;2;-;-;-;2;1;2;3;3;3;7;6;4;2;5;5;22;-;71
"330410 Porciúncula";1;-;-;1;-;-;1;-;1;-;1;2;5;1;6;3;5;10;4;29;-;70
"330411 Porto Real";3;1;-;-;-;-;-;1;1;1;2;-;2;6;2;3;4;6;5;9;-;46
"330412 Quatis";2;-;-;-;-;-;-;-;-;1;1;2;3;3;6;-;3;6;6;15;-;48
"330414 Queimados";10;6;8;3;1;-;2;6;3;11;13;21;23;26;32;44;32;54;59;123;-;477
"330415 Quissamã";-;-;-;-;-;-;-;2;1;-;1;2;2;3;1;4;3;4;4;17;-;44
"330420 Resende";11;1;5;1;2;1;5;3;2;2;7;7;12;20;32;36;27;35;34;111;-;354
"330430 Rio Bonito";5;1;-;-;-;3;2;1;1;1;-;5;6;5;12;20;14;16;22;49;-;163
"330440 Rio Claro";-;-;1;1;-;1;-;-;1;2;-;-;3;1;-;3;6;6;4;21;-;50
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;1;1;1;4;1;3;-;1;1;6;-;19
"330452 Rio das Ostras";3;1;3;2;2;-;-;3;3;8;3;3;16;15;15;17;17;23;32;79;-;245
"330455 Rio de Janeiro";226;74;200;80;54;62;116;173;223;309;324;528;782;1190;1543;1802;1954;2461;3254;10626;21;26002
"330460 Santa Maria Madalena";2;-;-;-;-;-;1;-;1;1;1;-;-;1;4;3;3;4;3;15;-;39
"330470 Santo Antônio de Pádua";2;-;-;-;-;1;2;1;2;2;1;1;1;5;14;16;10;16;18;66;-;158
"330480 São Fidélis";2;-;-;1;1;1;1;2;-;2;4;8;7;3;6;13;15;10;19;68;-;163
"330475 São Francisco de Itabapoana";-;-;-;-;1;-;1;-;2;2;2;3;5;4;5;10;6;9;11;44;-;105
"330490 São Gonçalo";39;11;24;7;8;14;21;18;32;39;54;80;127;208;216;286;298;362;371;1033;6;3254
"330500 São João da Barra";1;-;1;-;-;1;2;2;2;-;1;3;8;4;3;10;12;13;13;40;-;116
"330510 São João de Meriti";14;4;17;6;2;1;11;16;24;24;33;54;79;102;121;144;155;175;213;450;7;1652
"330513 São José de Ubá";-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;2;1;2;2;5;-;16
"330515 São José do Vale do Rio Preto";-;-;-;-;-;1;1;-;3;1;-;1;3;1;4;4;3;3;6;17;-;48
"330520 São Pedro da Aldeia";7;-;-;2;-;-;2;4;1;-;6;4;10;14;20;19;19;14;24;71;-;217
"330530 São Sebastião do Alto";1;-;-;-;-;-;-;-;-;-;-;1;1;3;-;2;3;1;5;12;-;29
"330540 Sapucaia";-;-;-;-;1;-;-;-;2;2;-;2;3;5;1;4;7;4;2;20;-;53
"330550 Saquarema";1;1;-;-;1;1;2;2;1;4;-;11;13;10;20;16;16;26;21;97;-;243
"330555 Seropédica";2;2;1;-;1;-;2;2;6;3;1;10;12;17;12;16;17;23;25;57;-;209
"330560 Silva Jardim";1;1;-;-;-;-;-;3;2;-;1;1;1;2;6;-;5;13;3;10;-;49
"330570 Sumidouro";-;-;-;-;2;-;-;2;1;-;1;1;2;2;5;2;3;7;10;20;-;58
"330575 Tanguá";-;1;-;-;2;-;-;1;-;3;4;2;7;4;9;3;6;5;11;21;-;79
"330580 Teresópolis";6;3;6;12;10;13;19;14;14;14;15;27;32;43;38;40;57;69;68;212;6;718
"330590 Trajano de Moraes";1;-;-;1;-;-;-;-;-;-;-;1;2;1;-;1;2;2;2;9;-;22
"330600 Três Rios";4;-;1;1;-;-;2;-;4;6;6;8;9;18;26;21;28;32;32;88;1;287
"330610 Valença";3;3;3;2;1;-;1;4;1;1;1;6;6;9;20;18;21;33;31;98;2;264
"330615 Varre-Sai";-;-;2;-;1;-;1;-;-;-;1;1;-;2;1;1;3;3;3;7;-;26
"330620 Vassouras";-;1;1;1;1;-;1;1;-;3;-;4;5;8;7;9;11;13;13;53;-;132
"330630 Volta Redonda";7;3;3;4;5;1;2;4;9;16;13;23;34;53;66;73;77;82;115;312;-;902
"330000 Município ignorado - RJ";5;1;2;1;1;5;3;1;6;10;4;4;11;12;9;3;7;4;6;7;201;303
