
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330210 Itaocara";4;-;-;-;-;1;2;4;-;3;2;2;10;11;11;13;6;14;15;32;-;130
"330220 Itaperuna";3;1;1;-;-;-;1;8;8;14;11;10;22;31;47;46;49;53;52;120;-;477
"330225 Itatiaia";1;-;2;-;2;-;2;3;3;3;8;7;4;10;9;15;14;21;8;31;-;143
"330227 Japeri";3;2;-;-;3;5;21;31;24;14;16;21;20;29;34;41;47;30;42;51;1;435
"330230 Laje do Muriaé";2;-;-;1;-;2;1;-;-;1;2;1;5;2;2;3;3;3;2;9;-;39
"330240 Macaé";20;5;10;4;-;6;23;32;38;24;30;30;39;47;66;73;68;56;66;130;3;770
"330245 Macuco";1;-;-;-;-;-;-;-;-;-;1;-;2;1;2;5;-;2;4;11;-;29
"330250 Magé";20;9;15;5;5;2;32;41;37;27;38;39;51;77;101;146;126;115;97;197;-;1180
"330260 Mangaratiba";4;-;-;-;2;2;5;6;10;8;4;4;6;10;14;25;17;21;27;31;6;202
"330270 Maricá";5;4;-;3;-;2;14;17;12;7;25;16;30;33;50;80;83;74;66;113;2;636
"330280 Mendes";1;-;-;1;-;-;1;3;1;5;2;3;2;10;14;10;13;8;10;23;1;108
"330285 Mesquita";7;2;12;1;-;3;26;23;25;21;19;30;36;55;76;74;93;98;90;147;-;838
"330290 Miguel Pereira";3;1;-;-;-;-;-;4;1;1;3;3;10;11;10;20;8;17;12;34;-;138
"330300 Miracema";2;-;2;1;-;-;3;1;-;4;5;6;8;5;12;12;9;13;19;34;1;137
"330310 Natividade";-;1;-;-;-;-;2;-;2;1;-;3;3;8;6;6;5;6;11;24;1;79
"330320 Nilópolis";11;2;5;1;3;4;34;38;26;24;17;28;30;41;84;86;103;93;80;171;4;885
"330330 Niterói";18;6;18;4;4;3;67;53;29;42;47;58;76;107;173;231;249;217;250;656;5;2313
"330340 Nova Friburgo";13;1;5;2;-;2;12;13;14;25;17;21;45;49;81;100;77;98;111;226;-;912
"330350 Nova Iguaçu";31;16;34;10;14;11;114;130;118;99;111;118;166;234;310;388;384;395;354;622;4;3663
"330360 Paracambi";2;-;1;-;-;-;9;2;9;6;7;8;16;17;23;24;34;27;23;41;-;249
"330370 Paraíba do Sul";2;1;-;1;1;1;3;3;6;4;9;5;7;10;12;25;26;15;15;40;-;186
"330380 Paraty";2;1;-;2;1;2;8;8;7;3;12;6;4;8;15;11;18;16;8;29;-;161
"330385 Paty do Alferes";3;-;-;-;-;-;2;3;1;3;5;5;8;8;6;6;13;9;16;25;1;114
"330390 Petrópolis";9;4;6;6;3;3;16;16;23;22;33;49;63;83;124;142;165;179;165;347;3;1461
"330395 Pinheiral";2;-;3;-;-;-;1;1;2;1;-;4;4;11;8;10;8;7;10;19;-;91
"330400 Piraí";-;-;2;-;1;-;2;1;1;4;6;2;4;12;11;21;9;6;11;32;-;125
"330410 Porciúncula";-;-;-;-;-;-;2;-;3;2;2;3;3;4;7;4;13;11;10;27;-;91
"330411 Porto Real";1;-;-;-;-;-;2;3;3;1;2;5;2;6;6;13;10;8;5;13;3;83
"330412 Quatis";1;-;-;-;-;-;2;-;2;2;1;1;3;5;2;2;3;3;4;13;-;44
"330414 Queimados";13;3;7;4;3;1;59;49;41;31;21;27;38;57;44;70;79;65;56;112;1;781
"330415 Quissamã";2;1;-;-;-;2;-;3;2;1;3;6;7;4;3;8;9;10;11;15;-;87
"330420 Resende";7;3;6;-;-;2;7;8;13;16;12;15;28;28;40;53;51;60;60;99;-;508
"330430 Rio Bonito";2;-;3;-;1;2;4;4;4;5;5;6;9;13;15;19;28;27;27;55;-;229
"330440 Rio Claro";1;-;-;-;-;-;2;3;1;2;3;3;4;5;4;8;11;2;5;22;-;76
"330450 Rio das Flores";-;-;-;-;-;-;-;1;-;2;-;2;6;-;3;2;5;4;3;5;-;33
"330452 Rio das Ostras";8;1;3;1;1;2;22;26;17;18;14;13;19;34;34;42;42;42;36;74;1;450
"330455 Rio de Janeiro";285;94;196;96;39;93;612;756;628;633;629;730;1019;1522;2195;2683;3014;2888;3042;7415;74;28643
"330460 Santa Maria Madalena";1;-;-;-;-;-;3;-;-;-;3;2;1;4;4;7;3;7;1;13;-;49
"330470 Santo Antônio de Pádua";4;-;2;-;-;-;3;2;4;6;2;8;8;10;15;18;13;27;19;76;-;217
"330480 São Fidélis";1;-;3;2;-;-;-;1;5;4;3;5;4;7;12;14;20;12;27;53;-;173
"330475 São Francisco de Itabapoana";3;1;2;1;-;-;9;7;4;6;7;10;10;13;13;19;20;19;24;45;-;213
"330490 São Gonçalo";44;6;50;13;4;9;129;164;98;99;83;120;185;281;352;485;469;432;463;807;18;4311
"330500 São João da Barra";1;1;-;1;1;1;3;4;4;3;4;6;8;12;13;23;12;10;18;38;-;163
"330510 São João de Meriti";25;5;21;6;4;6;72;77;60;44;49;65;71;128;176;222;238;225;206;344;9;2053
"330513 São José de Ubá";-;1;-;-;-;-;-;-;-;1;1;-;4;2;3;-;1;2;5;9;-;29
"330515 São José do Vale do Rio Preto";1;-;-;-;-;-;-;2;1;2;-;3;1;8;5;9;10;5;10;12;-;69
"330520 São Pedro da Aldeia";5;-;2;2;2;-;10;21;9;15;13;6;17;25;39;41;43;38;48;66;5;407
"330530 São Sebastião do Alto";-;-;-;-;-;1;1;-;1;2;-;-;1;4;4;4;8;7;8;14;-;55
"330540 Sapucaia";1;-;-;-;-;1;1;-;2;-;-;2;2;9;10;4;8;11;8;10;-;69
"330550 Saquarema";2;4;2;2;1;2;12;15;13;10;9;15;11;34;34;46;39;38;46;91;-;426
"330555 Seropédica";5;1;4;1;1;1;3;11;12;6;7;11;13;21;36;37;34;34;35;78;1;352
"330560 Silva Jardim";-;1;-;2;-;-;3;1;1;3;3;4;3;6;7;7;6;13;12;19;-;91
"330570 Sumidouro";1;1;-;-;-;-;-;-;1;1;4;1;3;2;9;5;1;8;4;11;-;52
"330575 Tanguá";4;-;1;-;-;-;2;3;-;3;8;8;9;11;11;14;16;15;15;31;-;151
"330580 Teresópolis";9;3;2;3;2;2;11;16;22;10;20;21;40;46;63;80;76;87;76;195;-;784
"330590 Trajano de Moraes";-;-;-;-;1;-;1;1;-;-;-;-;3;-;4;4;4;8;2;19;-;47
"330600 Três Rios";5;3;1;1;-;2;3;5;8;10;10;10;23;19;28;40;36;34;33;86;-;357
"330610 Valença";2;2;3;1;-;1;1;1;3;11;6;9;8;27;34;30;30;43;46;89;-;347
"330615 Varre-Sai";-;-;-;1;-;-;-;-;-;1;-;-;3;-;2;3;3;1;6;6;-;26
"330620 Vassouras";1;3;1;1;-;-;2;2;6;4;-;6;6;13;14;15;22;19;23;41;-;179
"330630 Volta Redonda";7;1;7;5;-;-;15;23;21;30;29;20;43;68;101;117;147;111;128;241;-;1114
"330000 Município ignorado - RJ";3;2;-;-;-;-;17;36;45;31;50;45;43;41;51;42;23;22;15;15;644;1125
