"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330140 Conceição de Macabu";2;-;-;-;-;1;1;2;3;4;7;3;6;7;1;7;10;6;13;18;-;91
"330150 Cordeiro";2;-;-;-;-;-;1;3;3;3;3;3;3;9;12;11;6;9;13;17;-;98
"330160 Duas Barras";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;3;3;3;12;-;28
"330170 Duque de Caxias";39;15;45;14;6;14;146;154;120;124;114;133;201;316;331;381;350;308;313;518;5;3647
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;2;1;-;5;2;2;1;8;11;8;4;8;6;20;-;78
"330185 Guapimirim";8;-;1;1;1;-;3;6;1;10;6;5;12;18;14;25;22;19;16;42;-;210
"330187 Iguaba Grande";3;-;-;-;-;-;-;1;3;3;5;2;4;3;8;13;12;19;12;24;-;112
"330190 Itaboraí";12;2;4;4;1;6;25;44;18;23;27;41;46;69;102;86;90;95;81;137;6;919
"330200 Itaguaí";9;1;5;1;2;-;24;23;18;18;27;20;27;25;44;56;44;47;60;65;1;517
"330205 Italva";-;-;-;-;-;-;2;-;-;1;2;2;2;-;3;9;7;6;5;22;-;61
"330210 Itaocara";-;-;-;2;1;-;1;3;1;2;2;3;9;9;15;8;7;13;17;30;-;123
"330220 Itaperuna";1;-;2;-;1;1;6;11;11;10;10;17;30;24;31;31;48;39;66;101;2;442
"330225 Itatiaia";-;-;-;2;-;1;5;4;2;4;3;3;12;8;9;7;20;8;10;16;-;114
"330227 Japeri";8;1;6;2;1;1;4;17;17;15;18;13;21;27;33;40;35;33;31;48;3;374
"330230 Laje do Muriaé";-;2;-;-;-;-;-;-;-;1;2;3;2;1;3;2;1;1;7;8;-;33
"330240 Macaé";16;3;8;2;7;4;21;35;25;31;28;40;35;57;53;60;42;53;57;101;2;680
"330245 Macuco";1;-;1;-;-;-;1;1;1;3;3;3;2;2;-;3;6;4;6;6;-;43
"330250 Magé";11;4;16;7;3;4;21;30;24;29;39;41;61;87;105;135;94;123;107;145;1;1087
"330260 Mangaratiba";2;-;-;-;2;-;3;5;8;8;5;8;9;11;16;18;14;10;22;27;-;168
"330270 Maricá";10;4;3;-;-;2;9;15;14;8;12;18;40;42;41;64;54;56;51;96;3;542
"330280 Mendes";1;-;-;-;-;-;-;1;1;-;2;2;4;7;7;9;15;7;9;16;-;81
"330285 Mesquita";4;2;6;5;3;5;19;21;14;22;19;30;36;58;69;98;84;65;75;113;1;749
"330290 Miguel Pereira";1;-;1;1;-;-;3;1;1;1;2;4;7;3;12;6;9;20;15;26;1;114
"330300 Miracema";3;-;-;1;-;1;2;1;3;4;2;6;3;15;8;7;11;13;18;32;-;130
"330310 Natividade";-;-;1;-;-;-;1;-;3;2;1;3;5;7;7;5;8;16;12;17;1;89
"330320 Nilópolis";7;3;2;2;1;3;29;28;17;24;25;25;28;60;76;77;77;82;67;135;5;773
"330330 Niterói";15;7;14;3;6;6;57;38;34;40;46;61;91;143;172;196;215;241;252;534;-;2171
"330340 Nova Friburgo";8;2;4;3;1;3;7;20;8;13;31;37;33;65;68;72;82;79;85;192;1;814
"330350 Nova Iguaçu";46;18;30;16;13;12;121;136;113;107;111;130;165;240;282;362;353;356;311;471;17;3410
"330360 Paracambi";5;1;1;1;-;3;2;3;8;8;4;8;11;9;13;10;20;22;15;32;4;180
"330370 Paraíba do Sul";1;-;2;-;3;1;2;1;4;6;9;10;13;18;11;21;24;18;18;41;-;203
"330380 Paraty";2;-;1;-;-;1;8;7;7;7;3;6;4;11;12;16;11;12;14;17;-;139
"330385 Paty do Alferes";-;-;1;1;-;1;-;1;1;-;-;4;7;15;13;11;11;19;13;31;-;129
"330390 Petrópolis";24;4;11;7;2;9;9;18;15;29;31;58;74;113;127;132;144;149;173;307;3;1439
"330395 Pinheiral";-;1;1;-;-;-;2;2;-;1;4;6;4;3;9;8;11;7;4;20;-;83
"330400 Piraí";-;-;1;-;-;-;-;2;3;1;1;6;4;9;4;7;10;9;12;15;-;84
"330410 Porciúncula";1;-;1;-;1;-;1;4;3;4;2;1;3;7;9;3;6;8;10;19;-;83
"330411 Porto Real";-;-;-;-;1;1;-;2;1;1;-;4;6;7;5;8;7;9;4;7;-;63
"330412 Quatis";1;-;1;-;-;-;1;-;1;2;-;2;5;7;1;6;9;4;4;10;-;54
"330414 Queimados";14;5;15;4;1;-;11;26;22;20;18;24;29;38;50;54;67;52;50;77;4;581
"330415 Quissamã";-;-;2;-;-;1;1;4;3;5;3;2;7;8;11;7;2;8;6;17;-;87
"330420 Resende";4;4;2;-;1;3;12;14;15;19;21;14;40;25;42;36;57;38;43;83;1;474
"330430 Rio Bonito";7;2;1;-;2;-;4;7;4;5;6;9;10;20;23;21;15;30;25;49;2;242
"330440 Rio Claro";1;-;-;-;1;-;-;1;2;2;3;2;6;7;5;9;10;8;4;18;-;79
"330450 Rio das Flores";1;-;-;-;-;-;1;2;2;2;2;-;2;4;3;6;7;5;3;9;-;49
"330452 Rio das Ostras";3;4;5;-;-;-;12;19;20;21;15;17;26;27;36;33;36;28;39;46;1;388
"330455 Rio de Janeiro";305;114;189;97;56;80;482;547;582;628;650;776;1062;1585;2142;2479;2576;2702;3185;6372;72;26681
"330460 Santa Maria Madalena";1;-;-;-;-;-;2;2;1;1;1;4;2;3;6;7;5;7;4;9;-;55
"330470 Santo Antônio de Pádua";3;2;1;-;1;-;1;3;2;2;6;10;7;12;17;11;15;22;19;51;-;185
"330480 São Fidélis";1;-;-;2;-;2;2;6;3;4;3;5;7;11;15;14;17;16;16;39;-;163
"330475 São Francisco de Itabapoana";3;-;1;1;-;1;3;5;8;6;7;10;9;14;8;17;23;19;21;35;-;191
"330490 São Gonçalo";38;14;20;9;6;23;122;138;106;117;125;130;196;272;363;374;424;403;445;688;11;4024
"330500 São João da Barra";4;1;-;1;-;-;6;4;6;6;4;7;11;15;17;16;20;13;16;35;-;182
"330510 São João de Meriti";22;10;22;9;3;11;60;65;51;43;66;76;97;140;190;202;235;212;179;285;10;1988
"330513 São José de Ubá";-;-;1;1;-;-;-;1;1;2;-;-;4;3;2;5;4;4;8;6;-;42
"330515 São José do Vale do Rio Preto";-;2;1;-;-;-;1;-;2;2;1;7;3;2;5;9;7;5;6;13;1;67
"330520 São Pedro da Aldeia";1;-;4;-;-;3;9;10;9;10;8;14;16;16;30;26;39;38;26;50;1;310
"330530 São Sebastião do Alto";3;1;-;-;-;-;-;-;2;2;-;2;1;1;7;8;5;3;5;10;-;50
"330540 Sapucaia";-;-;1;-;-;-;-;2;2;-;1;10;4;6;11;6;4;9;8;17;-;81
"330550 Saquarema";3;-;1;2;1;3;4;5;9;7;10;12;12;24;31;44;37;40;35;66;-;346
"330555 Seropédica";2;-;3;1;1;3;9;13;7;8;9;26;21;13;37;29;35;21;36;56;-;330
"330560 Silva Jardim";3;2;-;-;-;1;2;2;4;1;3;3;4;5;4;7;9;5;5;19;-;79
"330570 Sumidouro";-;-;-;-;-;-;1;1;-;1;1;2;7;7;5;4;4;2;2;9;-;46
"330575 Tanguá";1;-;2;-;-;-;1;1;6;4;3;11;7;6;15;10;12;16;14;18;-;127
"330580 Teresópolis";7;4;4;4;1;1;8;13;8;11;16;20;42;46;67;59;70;73;75;134;1;664
"330590 Trajano de Moraes";1;-;-;-;-;-;-;2;1;-;-;2;1;1;3;3;8;4;7;14;-;47
"330600 Três Rios";7;1;5;3;1;2;3;7;7;7;11;15;23;30;28;37;44;39;38;61;-;369
"330610 Valença";6;4;3;-;-;1;2;6;7;9;9;10;17;29;30;48;32;38;44;63;1;359
"330615 Varre-Sai";1;-;-;1;-;-;1;-;-;1;1;-;1;4;4;1;4;1;2;8;-;30
"330620 Vassouras";1;-;2;1;2;1;1;1;5;4;5;7;8;18;16;13;10;20;24;44;-;183
"330630 Volta Redonda";12;4;11;2;-;5;21;25;28;21;26;34;56;65;92;118;112;100;110;245;-;1087
"330000 Município ignorado - RJ";7;-;2;-;-;-;20;27;38;41;31;40;35;38;41;27;13;11;15;15;750;1151
