"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330250 Magé";12;8;9;4;1;3;5;3;9;10;29;32;40;59;74;74;76;88;101;245;-;882
"330260 Mangaratiba";4;1;-;-;-;-;-;3;3;1;2;1;7;10;12;10;15;12;15;49;-;145
"330270 Maricá";6;-;3;3;-;1;6;3;4;8;8;10;16;29;32;32;37;42;50;155;-;445
"330280 Mendes";1;-;-;-;-;-;-;1;1;1;1;2;1;8;8;6;15;7;12;39;-;103
"330285 Mesquita";5;2;5;1;-;2;3;3;2;11;11;24;30;38;42;72;53;69;82;197;-;652
"330290 Miguel Pereira";-;-;-;-;-;-;-;-;-;-;1;1;3;4;9;8;15;8;7;52;-;108
"330300 Miracema";-;-;-;-;1;-;1;1;-;2;2;-;3;2;3;6;9;9;10;50;-;99
"330310 Natividade";-;-;-;-;-;1;-;1;1;-;-;1;2;2;-;7;3;7;6;25;-;56
"330320 Nilópolis";8;1;1;1;-;3;4;8;7;8;14;22;31;37;47;69;64;71;95;260;-;751
"330330 Niterói";17;4;5;3;3;4;7;12;12;15;25;49;54;65;95;132;156;190;251;1099;-;2198
"330340 Nova Friburgo";5;2;3;2;-;2;2;1;7;12;12;10;23;40;50;42;62;61;91;313;-;740
"330350 Nova Iguaçu";45;16;24;13;3;10;18;27;38;33;61;86;98;146;212;254;272;300;329;807;1;2793
"330360 Paracambi";-;1;-;-;-;-;2;2;-;-;5;7;5;8;14;20;16;22;20;61;-;183
"330370 Paraíba do Sul";1;1;-;1;-;-;1;3;2;1;3;5;7;12;10;11;11;12;23;34;-;138
"330380 Paraty";2;2;3;1;1;-;-;-;4;2;2;4;4;2;3;9;9;9;6;27;-;90
"330385 Paty do Alferes";1;-;-;-;1;-;-;1;1;3;2;4;7;4;4;6;6;13;12;31;-;96
"330390 Petrópolis";18;5;12;3;2;3;1;5;5;10;10;30;35;50;65;91;90;128;171;511;-;1245
"330395 Pinheiral";1;-;1;-;-;-;-;1;-;-;2;2;4;4;3;6;3;3;8;21;-;59
"330400 Piraí";-;1;-;1;-;-;2;-;1;-;1;1;3;5;3;11;7;7;7;37;-;87
"330410 Porciúncula";-;1;-;-;-;1;1;2;-;2;3;4;3;4;2;2;5;4;2;31;-;67
"330411 Porto Real";-;-;-;1;-;-;-;-;2;1;1;2;3;3;3;3;6;6;5;13;-;49
"330412 Quatis";1;-;-;-;-;-;-;-;1;-;-;1;6;6;3;7;6;7;5;5;-;48
"330414 Queimados";5;3;6;3;1;2;4;4;4;12;13;11;20;19;45;49;59;38;49;109;-;456
"330415 Quissamã";1;-;1;-;-;-;2;1;4;1;2;2;2;3;3;6;3;4;8;20;-;63
"330420 Resende";3;1;3;3;1;4;3;6;4;4;9;9;15;14;23;32;41;44;34;122;-;375
"330430 Rio Bonito";2;-;2;2;1;1;-;2;1;2;1;3;6;8;11;19;19;14;13;80;-;187
"330440 Rio Claro";2;-;1;2;-;-;-;1;1;2;2;3;2;1;-;2;5;5;4;14;-;47
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;3;1;3;5;14;-;32
"330452 Rio das Ostras";11;2;-;4;2;2;3;4;5;8;2;11;11;17;20;25;30;26;25;88;1;297
"330455 Rio de Janeiro";207;77;151;73;43;41;115;167;219;290;360;528;734;1112;1491;1943;2189;2442;3363;11799;23;27367
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;-;-;-;1;2;1;2;1;5;2;5;3;18;-;40
"330470 Santo Antônio de Pádua";1;-;1;-;1;-;-;1;1;1;3;3;3;5;7;10;8;19;17;64;-;145
"330480 São Fidélis";2;-;2;1;-;-;-;-;-;2;-;2;3;8;8;7;6;6;21;51;-;119
"330475 São Francisco de Itabapoana";3;-;-;2;-;1;1;2;2;2;2;3;7;10;7;12;11;9;13;40;-;127
"330490 São Gonçalo";25;17;28;7;4;6;15;19;21;47;61;83;115;197;239;264;332;362;391;1152;4;3389
"330500 São João da Barra";-;-;2;3;-;1;-;2;-;2;3;3;5;6;5;8;14;17;14;35;-;120
"330510 São João de Meriti";31;10;17;4;3;1;10;16;13;23;33;35;52;98;127;146;152;191;207;532;2;1703
"330513 São José de Ubá";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;5;1;14;-;24
"330515 São José do Vale do Rio Preto";1;-;-;-;-;-;1;1;-;-;1;1;5;2;5;7;4;9;7;15;-;59
"330520 São Pedro da Aldeia";4;1;2;-;-;1;2;4;3;1;4;1;8;15;16;19;14;20;30;81;-;226
"330530 São Sebastião do Alto";-;-;-;-;-;1;-;-;1;1;-;-;1;-;1;1;2;3;4;6;-;21
"330540 Sapucaia";2;-;2;-;-;-;-;2;2;1;-;1;5;7;7;4;3;5;4;19;-;64
"330550 Saquarema";5;-;2;1;-;-;1;1;2;8;6;4;14;18;18;15;19;23;33;94;-;264
"330555 Seropédica";5;1;1;1;1;-;5;1;7;3;4;8;12;18;20;24;20;21;25;66;-;243
"330560 Silva Jardim";2;-;-;1;-;-;1;-;2;2;2;-;2;2;4;5;4;5;9;24;-;65
"330570 Sumidouro";1;-;-;1;-;-;-;2;-;1;1;1;1;1;3;3;3;7;4;15;-;44
"330575 Tanguá";-;1;-;-;-;-;1;-;2;-;1;4;2;6;5;9;10;6;8;31;-;86
"330580 Teresópolis";9;2;2;4;2;1;4;6;5;5;13;12;17;39;37;55;55;66;75;249;-;658
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;-;1;4;2;2;1;4;1;2;2;12;-;31
"330600 Três Rios";5;1;5;-;-;2;2;2;3;4;6;7;11;11;21;24;27;31;27;91;-;280
"330610 Valença";4;-;2;-;-;1;1;-;5;3;2;8;7;16;19;23;23;31;41;110;-;296
"330615 Varre-Sai";-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;2;2;1;7;14;-;30
"330620 Vassouras";1;1;-;-;-;-;1;1;1;5;2;5;6;10;10;13;14;10;13;66;2;161
"330630 Volta Redonda";7;5;2;2;2;2;4;3;8;11;14;15;38;54;78;92;81;86;83;332;-;919
"330000 Município ignorado - RJ";4;3;1;-;-;1;-;3;2;6;4;4;8;11;6;6;6;1;4;11;148;229
