
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330380 Paraty";-;-;1;2;-;-;-;1;2;4;2;2;4;10;6;9;8;4;13;34;-;102
"330385 Paty do Alferes";2;2;-;-;-;-;-;1;-;1;2;3;2;1;4;5;7;9;8;41;-;88
"330390 Petrópolis";15;4;5;6;3;2;3;10;7;10;16;15;35;65;66;106;110;161;150;565;1;1355
"330395 Pinheiral";-;-;-;-;-;-;1;-;1;-;4;2;3;6;11;8;10;5;5;26;-;82
"330400 Piraí";4;-;-;-;-;-;-;-;-;-;-;1;-;7;3;8;10;6;13;32;-;84
"330410 Porciúncula";-;1;1;-;-;1;-;-;-;-;2;2;1;4;5;5;1;7;14;20;-;64
"330411 Porto Real";-;-;-;-;-;-;-;2;2;2;1;-;5;1;5;6;4;5;3;19;-;55
"330412 Quatis";-;-;-;-;-;-;-;-;1;-;2;-;-;-;3;2;7;8;2;15;-;40
"330414 Queimados";11;3;8;2;1;1;2;2;6;8;17;15;18;37;47;57;60;62;57;130;-;544
"330415 Quissamã";1;1;1;1;-;-;2;1;2;-;1;3;2;3;1;9;5;6;6;18;1;64
"330420 Resende";3;3;3;-;-;1;1;2;4;5;8;7;23;22;24;25;29;37;46;152;-;395
"330430 Rio Bonito";3;-;2;1;-;1;1;1;-;2;5;2;2;13;5;11;17;23;18;72;-;179
"330440 Rio Claro";1;-;-;-;1;-;-;1;1;-;1;-;1;2;6;5;3;7;12;21;-;62
"330450 Rio das Flores";1;-;-;-;-;-;1;1;-;1;2;-;-;1;1;1;3;7;6;16;-;41
"330452 Rio das Ostras";8;2;2;4;-;-;1;5;1;8;13;9;6;17;20;34;34;33;31;126;-;354
"330455 Rio de Janeiro";196;80;151;84;35;50;101;167;175;267;394;500;753;1048;1438;2037;2365;2605;3079;12312;10;27847
"330460 Santa Maria Madalena";-;-;-;-;-;-;-;-;-;-;1;-;-;4;4;5;3;2;3;18;-;40
"330470 Santo Antônio de Pádua";1;1;-;-;-;-;1;1;-;3;2;5;2;7;10;9;8;19;23;84;-;176
"330480 São Fidélis";3;1;-;-;-;-;-;-;-;-;4;2;4;7;8;9;6;11;15;65;-;135
"330475 São Francisco de Itabapoana";1;-;1;-;1;1;-;1;1;1;2;2;5;8;11;5;9;12;18;41;-;120
"330490 São Gonçalo";33;11;21;11;6;8;16;19;25;29;48;77;112;189;231;322;350;412;474;1232;1;3627
"330500 São João da Barra";2;-;-;-;-;-;2;1;1;1;1;4;3;6;7;7;14;17;21;54;-;141
"330510 São João de Meriti";27;11;10;7;3;2;13;15;19;24;33;31;62;87;126;148;198;185;220;522;2;1745
"330513 São José de Ubá";1;-;-;-;1;-;-;-;-;1;-;-;-;3;-;3;2;2;3;8;-;24
"330515 São José do Vale do Rio Preto";-;-;-;-;-;-;-;-;-;-;1;2;3;4;3;3;7;10;5;16;-;54
"330520 São Pedro da Aldeia";2;2;3;-;-;2;1;1;3;5;7;10;11;17;31;26;24;26;32;102;-;305
"330530 São Sebastião do Alto";-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;2;3;4;5;11;-;30
"330540 Sapucaia";2;-;-;-;-;-;1;-;-;-;-;4;1;4;4;5;3;7;6;20;-;57
"330550 Saquarema";2;1;1;2;-;1;3;4;-;1;5;3;12;11;28;28;28;33;36;122;-;321
"330555 Seropédica";5;1;3;2;1;-;2;6;3;6;4;4;16;19;24;30;23;32;33;70;-;284
"330560 Silva Jardim";-;-;2;1;-;-;-;-;1;-;1;-;-;5;6;2;6;7;11;27;-;69
"330570 Sumidouro";-;-;-;-;-;-;-;-;2;1;2;-;-;3;3;3;6;3;2;11;-;36
"330575 Tanguá";1;1;-;-;-;-;2;1;-;-;1;-;4;6;6;8;10;10;11;36;-;97
"330580 Teresópolis";11;-;3;2;-;-;3;2;8;5;9;9;27;32;43;42;57;72;68;243;-;636
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;1;3;5;7;23;-;44
"330600 Três Rios";4;1;2;2;1;1;1;6;4;10;9;6;9;15;29;30;30;42;29;134;-;365
"330610 Valença";2;1;1;-;-;-;1;2;2;1;4;6;11;14;13;29;24;31;36;138;-;316
"330615 Varre-Sai";-;-;-;-;-;-;-;1;-;1;1;1;-;1;2;1;3;5;2;16;-;34
"330620 Vassouras";2;1;1;-;-;-;1;-;1;1;3;3;5;4;8;17;14;20;21;60;-;162
"330630 Volta Redonda";5;5;5;-;-;4;6;8;6;12;17;15;19;37;73;71;90;109;117;389;1;989
"330000 Município ignorado - RJ";1;1;-;2;-;-;-;1;6;8;3;4;5;3;2;5;4;3;2;10;83;143
