
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"330130 Casimiro de Abreu";1;1;-;-;1;1;-;-;1;1;3;2;3;3;7;4;9;5;8;9;35;-;94
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;2;2;3;5;13;-;29
"330140 Conceição de Macabu";3;-;1;-;-;-;-;1;1;1;-;-;4;1;3;2;5;1;11;6;18;-;58
"330150 Cordeiro";1;-;-;-;-;1;-;-;-;2;2;2;3;1;2;-;6;5;4;7;30;-;66
"330160 Duas Barras";-;-;-;-;-;-;-;1;-;-;1;-;1;2;4;1;1;2;4;7;10;-;34
"330170 Duque de Caxias";45;12;34;-;19;6;15;26;26;50;40;59;99;135;175;238;243;243;320;342;736;1;2864
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;-;-;-;1;-;2;1;4;3;7;2;5;2;3;18;-;48
"330185 Guapimirim";2;1;-;-;-;-;1;1;3;1;-;2;5;9;9;14;14;12;10;15;47;-;146
"330187 Iguaba Grande";1;-;1;-;1;1;-;-;-;1;1;-;3;-;4;8;8;5;11;8;32;-;85
"330190 Itaboraí";12;2;4;-;1;3;2;10;12;8;8;16;14;25;47;59;62;63;61;72;197;2;680
"330200 Itaguaí";4;4;6;-;2;1;-;2;4;2;5;10;9;12;17;29;32;35;40;38;98;3;353
"330205 Italva";-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;2;4;4;3;8;17;-;44
"330210 Itaocara";1;1;-;-;-;1;-;1;-;1;3;1;3;1;6;6;7;11;11;8;49;-;111
"330220 Itaperuna";1;2;2;-;-;1;1;2;1;2;2;6;8;12;17;13;25;19;39;47;123;-;323
"330225 Itatiaia";1;-;1;-;-;-;-;-;-;-;1;1;1;3;-;4;6;7;6;8;13;-;52
"330227 Japeri";6;2;3;-;1;-;2;4;3;5;3;8;9;12;18;19;22;27;19;35;64;-;262
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;2;2;4;2;10;-;24
"330240 Macaé";13;1;7;-;-;4;3;3;7;12;8;12;8;28;20;37;31;33;42;36;137;1;443
"330245 Macuco";-;-;-;-;-;-;-;-;-;-;1;3;-;3;1;2;2;1;2;3;7;-;25
"330250 Magé";8;3;7;-;3;-;4;4;6;9;17;17;24;36;53;61;65;72;78;77;224;1;769
"330260 Mangaratiba";1;1;2;-;-;-;-;1;1;1;2;-;3;5;10;10;11;8;11;11;30;-;108
"330270 Maricá";7;1;3;-;-;2;1;1;1;4;10;9;8;13;20;24;28;30;25;54;129;2;372
"330280 Mendes";-;-;-;-;-;1;-;-;1;1;2;3;1;4;3;8;9;4;7;3;18;-;65
"330285 Mesquita";4;2;8;-;1;2;5;1;4;14;11;10;15;37;36;56;33;73;63;92;195;-;662
"330290 Miguel Pereira";3;-;-;-;-;-;1;1;-;-;2;5;1;6;6;5;10;12;5;6;32;-;95
"330300 Miracema";3;-;-;-;-;-;1;1;-;-;-;-;6;3;5;5;8;12;6;12;50;-;112
"330310 Natividade";-;-;-;-;-;1;-;-;1;-;1;1;2;2;4;4;3;4;5;7;25;-;60
"330320 Nilópolis";4;3;4;-;3;2;1;5;4;4;4;9;12;20;42;53;54;73;81;84;226;-;688
"330330 Niterói";16;7;11;-;6;13;15;14;11;15;20;26;52;68;88;101;109;155;241;269;1022;3;2262
"330340 Nova Friburgo";8;1;1;-;1;-;-;2;4;6;12;10;12;25;29;34;47;49;58;81;241;-;621
"330350 Nova Iguaçu";57;17;21;-;16;10;6;10;21;32;43;63;79;137;175;189;220;243;304;318;719;5;2685
"330360 Paracambi";4;-;-;-;-;-;-;1;1;-;1;6;5;10;19;8;15;17;20;24;47;-;178
"330370 Paraíba do Sul";5;-;-;-;-;-;-;-;1;2;2;1;4;8;8;7;13;12;6;23;47;1;140
"330380 Paraty";5;-;1;-;1;-;-;-;1;-;2;1;3;5;3;2;4;7;5;13;25;-;78
"330385 Paty do Alferes";4;-;1;-;-;-;-;-;1;-;-;-;4;7;2;8;6;7;3;13;37;-;93
"330390 Petrópolis";21;4;16;-;3;2;5;5;5;3;12;17;34;35;46;75;90;95;156;134;444;2;1204
"330395 Pinheiral";1;1;-;-;1;1;-;-;2;1;-;3;2;2;7;6;5;8;7;8;20;-;75
"330400 Piraí";2;-;-;-;-;-;-;-;1;-;-;2;3;4;3;3;5;5;11;6;17;-;62
"330410 Porciúncula";1;-;1;-;-;1;-;-;-;-;1;1;1;2;1;2;1;6;10;7;23;-;58
"330411 Porto Real";1;-;-;-;-;-;-;-;1;1;1;-;1;2;5;1;2;3;4;7;8;-;37
"330412 Quatis";-;-;1;-;-;-;-;-;-;-;-;-;2;2;1;6;6;2;2;2;15;-;39
"330414 Queimados";8;3;3;-;5;2;1;3;5;6;7;16;17;24;36;40;53;40;51;53;107;1;481
"330415 Quissamã";1;-;-;-;-;-;-;1;-;-;1;1;2;2;3;4;-;3;6;9;16;-;49
"330420 Resende";3;-;4;-;2;2;2;-;1;5;5;4;4;20;26;18;24;22;34;41;87;-;304
"330430 Rio Bonito";1;1;6;-;1;3;-;2;-;3;3;5;1;8;10;13;15;13;13;22;67;-;187
"330440 Rio Claro";-;-;-;-;-;1;-;1;1;-;1;-;3;2;2;1;1;6;6;5;13;2;45
"330450 Rio das Flores";-;-;1;-;-;-;-;-;-;1;2;-;2;-;2;2;1;3;2;2;10;-;28
"330452 Rio das Ostras";2;-;1;-;3;-;1;3;1;2;1;2;6;16;11;16;11;18;17;23;68;-;202
"330455 Rio de Janeiro";251;78;170;-;83;49;74;108;164;234;282;385;524;822;1192;1448;1733;2021;2698;3370;10721;26;26433
"330460 Santa Maria Madalena";1;-;-;-;-;-;-;-;1;1;2;-;2;2;1;-;5;2;1;1;18;-;37
"330470 Santo Antônio de Pádua";-;2;2;-;1;-;-;-;1;-;3;3;4;5;3;8;5;12;18;17;68;-;152
"330480 São Fidélis";-;-;-;-;1;-;-;1;2;1;3;1;1;4;7;11;8;5;19;19;52;-;135
"330475 São Francisco de Itabapoana";-;-;3;-;1;1;1;1;-;3;3;1;4;5;4;13;9;10;15;9;30;-;113
"330490 São Gonçalo";35;11;22;-;12;6;15;18;22;21;50;67;91;145;204;204;263;319;353;398;998;4;3258
"330500 São João da Barra";1;1;2;-;1;1;-;1;-;1;1;3;2;6;4;6;6;6;7;19;30;-;98
"330510 São João de Meriti";28;5;12;-;6;3;1;8;8;20;22;26;46;78;103;102;151;136;192;199;485;-;1631
"330513 São José de Ubá";-;-;-;-;-;-;-;-;1;-;1;1;2;-;2;1;1;4;2;1;6;-;22
"330515 São José do Vale do Rio Preto";1;-;1;-;-;-;-;2;-;2;2;2;-;-;9;5;-;5;2;10;18;-;59
"330520 São Pedro da Aldeia";2;-;1;-;2;-;-;2;3;2;3;3;5;13;18;15;15;13;25;20;67;1;210
"330530 São Sebastião do Alto";-;-;-;-;-;1;-;-;-;-;2;1;-;1;-;-;1;2;5;4;17;-;34
"330540 Sapucaia";1;1;-;-;-;2;-;-;-;1;2;1;1;3;4;-;3;4;7;5;20;-;55
"330550 Saquarema";4;2;4;-;1;-;1;1;2;5;2;5;10;10;10;11;20;23;20;31;76;-;238
"330555 Seropédica";2;2;2;-;-;2;1;2;-;6;3;3;4;11;15;20;13;18;19;18;47;-;188
"330560 Silva Jardim";1;-;-;-;-;-;-;-;-;-;1;2;1;5;-;5;1;4;11;4;23;-;58
"330570 Sumidouro";1;-;1;-;-;-;-;-;-;-;1;1;1;3;2;4;-;-;3;2;9;-;28
"330575 Tanguá";-;-;-;-;-;-;-;-;1;-;2;1;4;1;2;6;9;10;10;11;24;-;81
"330580 Teresópolis";10;5;1;-;4;2;2;4;2;4;9;6;12;27;20;29;52;49;53;53;212;1;557
"330590 Trajano de Moraes";-;-;1;-;-;-;-;1;-;-;-;1;2;1;2;1;1;3;3;4;12;-;32
"330600 Três Rios";4;1;1;-;-;1;1;1;2;2;5;7;11;11;15;15;17;29;26;42;83;1;275
"330610 Valença";4;2;2;-;1;-;1;-;3;5;6;-;5;10;14;24;12;25;32;40;108;-;294
"330615 Varre-Sai";-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;1;3;1;6;11;-;26
"330620 Vassouras";2;1;1;-;1;1;-;1;-;2;2;1;3;5;5;6;9;10;15;20;56;-;141
"330630 Volta Redonda";10;5;7;-;2;1;1;5;11;11;6;16;26;24;53;60;70;83;93;98;297;-;879
"330000 Município ignorado - RJ";4;2;1;1;-;-;-;2;2;3;7;6;5;4;8;4;4;7;6;7;14;135;222
